Axis Capital Holdings Price to Free Cash Flow Ratio Historical Data,Axis Capital Holdings Price to Free Cash Flow Ratio Historical Data,Axis Capital Holdings Price to Free Cash Flow Ratio Historical Data,Axis Capital Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,82.8,,4.77
2024-06-30,70.26,$17.37,4.05
2024-03-31,64.26,$15.76,4.08
2023-12-31,54.33,$14.24,3.82
2023-09-30,54.88,$9.19,5.97
2023-06-30,52.0,$10.44,4.98
2023-03-31,52.23,$10.32,5.06
2022-12-31,51.48,$8.89,5.79
2022-09-30,46.33,$12.65,3.66
2022-06-30,53.35,$13.27,4.02
2022-03-31,56.08,$13.39,4.19
2021-12-31,50.16,$13.59,3.69
2021-09-30,41.68,$11.32,3.68
2021-06-30,44.37,$8.74,5.08
2021-03-31,44.5,$5.93,7.5
2020-12-31,44.86,$3.55,12.65
2020-09-30,38.52,$2.95,13.06
2020-06-30,35.48,$3.11,11.41
2020-03-31,33.46,$1.68,19.86
2019-12-31,50.92,$1.61,31.65
2019-09-30,56.42,$0.83,67.8
2019-06-30,50.44,$-0.09,0.0
2019-03-31,46.01,$0.05,893.35
2018-12-31,43.06,$-0.17,0.0
2018-09-30,47.42,$0.50,95.44
2018-06-30,45.71,$0.30,154.2
2018-03-31,46.98,$1.99,23.56
2017-12-31,40.74,$2.57,15.82
2017-09-30,45.79,$4.86,9.43
2017-06-30,51.66,$5.23,9.87
2017-03-31,53.24,$4.30,12.38
2016-12-31,51.55,$4.15,12.43
2016-09-30,42.66,$3.42,12.46
2016-06-30,42.91,$7.11,6.03
2016-03-31,42.98,$7.31,5.88
2015-12-31,43.29,$7.60,5.69
2015-09-30,41.11,$8.00,5.14
2015-06-30,40.63,$5.44,7.46
2015-03-31,39.05,$6.44,6.07
2014-12-31,38.46,$7.96,4.83
2014-09-30,35.43,$8.48,4.18
2014-06-30,32.96,$9.02,3.66
2014-03-31,33.92,$8.70,3.9
2013-12-31,34.99,$9.30,3.76
2013-09-30,31.67,$9.45,3.35
2013-06-30,33.29,$9.00,3.7
2013-03-31,30.1,$9.23,3.26
2012-12-31,24.9,$8.78,2.84
2012-09-30,24.92,$8.37,2.98
2012-06-30,23.07,$8.04,2.87
2012-03-31,23.33,$7.91,2.95
2011-12-31,22.32,$8.96,2.49
2011-09-30,17.98,$9.83,1.83
2011-06-30,21.27,$9.18,2.32
2011-03-31,23.82,$8.64,2.76
2010-12-31,24.3,$8.59,2.83
2010-09-30,22.17,$5.57,3.98
2010-06-30,19.88,$6.56,3.03
2010-03-31,20.77,$6.34,3.28
2009-12-31,18.75,$5.37,3.49
