Enbridge Inc Price to Free Cash Flow Ratio Historical Data,Enbridge Inc Price to Free Cash Flow Ratio Historical Data,Enbridge Inc Price to Free Cash Flow Ratio Historical Data,Enbridge Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.84,,15.52
2024-06-30,34.77,$2.70,12.89
2024-03-31,34.71,$3.12,11.11
2023-12-31,33.87,$3.44,9.86
2023-09-30,30.61,$3.41,8.97
2023-06-30,33.64,$3.07,10.96
2023-03-31,33.97,$2.76,12.32
2022-12-31,34.25,$2.50,13.72
2022-09-30,31.98,$2.10,15.2
2022-06-30,35.87,$1.82,19.7
2022-03-31,38.53,$1.56,24.77
2021-12-31,32.15,$1.06,30.2
2021-09-30,32.21,$0.86,37.64
2021-06-30,31.86,$1.18,26.92
2021-03-31,28.45,$1.35,21.14
2020-12-31,24.55,$1.71,14.32
2020-09-30,21.94,$2.43,9.04
2020-06-30,22.44,$2.66,8.43
2020-03-31,21.06,$2.65,7.96
2019-12-31,28.38,$2.24,12.65
2019-09-30,24.67,$2.56,9.65
2019-06-30,24.95,$2.83,8.81
2019-03-31,24.7,$3.12,7.92
2018-12-31,20.85,$3.64,5.73
2018-09-30,21.33,$2.05,10.42
2018-06-30,23.24,$0.86,27.02
2018-03-31,20.17,$-0.02,0.0
2017-12-31,24.68,$-0.54,0.0
2017-09-30,26.05,$0.83,31.36
2017-06-30,24.48,$1.08,22.69
2017-03-31,25.45,$1.23,20.68
2016-12-31,25.36,$1.20,21.09
2016-09-30,26.38,$-0.91,0.0
2016-06-30,25.02,$-1.43,0.0
2016-03-31,22.75,$-2.07,0.0
2015-12-31,19.17,$-2.33,0.0
2015-09-30,21.24,$-3.87,0.0
2015-06-30,26.55,$-4.89,0.0
2015-03-31,27.31,$-6.34,0.0
2014-12-31,28.73,$-8.51,0.0
2014-09-30,26.58,$-8.46,0.0
2014-06-30,26.18,$-8.45,0.0
2014-03-31,24.93,$-7.18,0.0
2013-12-31,23.75,$-5.76,0.0
2013-09-30,22.54,$-4.97,0.0
2013-06-30,22.55,$-4.31,0.0
2013-03-31,24.78,$-3.79,0.0
2012-12-31,22.91,$-3.26,0.0
2012-09-30,20.49,$-2.22,0.0
2012-06-30,20.81,$-1.28,0.0
2012-03-31,20.11,$-0.79,0.0
2011-12-31,19.22,$0.25,77.7
2011-09-30,16.29,$0.59,27.75
2011-06-30,16.43,$-0.01,0.0
2011-03-31,15.43,$-0.23,0.0
2010-12-31,14.04,$-0.62,0.0
2010-09-30,12.92,$-1.07,0.0
2010-06-30,11.41,$-1.32,0.0
2010-03-31,11.6,$-1.06,0.0
2009-12-31,11.12,$-1.33,0.0
