Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.38,,0.0
2024-06-30,41.72,$-0.67,0.0
2024-03-31,53.13,$-3.71,0.0
2023-12-31,49.76,$-0.85,0.0
2023-09-30,40.2,$-0.40,0.0
2023-06-30,39.7,$0.38,104.9
2023-03-31,35.55,$0.80,44.17
2022-12-31,33.91,$0.68,49.72
2022-09-30,28.33,$-0.52,0.0
2022-06-30,31.0,$0.67,46.07
2022-03-31,32.61,$2.80,11.66
2021-12-31,35.51,$2.98,11.92
2021-09-30,28.72,$5.41,5.31
2021-06-30,27.39,$5.16,5.31
2021-03-31,31.45,$6.52,4.82
2020-12-31,26.03,$7.50,3.47
2020-09-30,21.09,$7.39,2.86
2020-06-30,17.25,$7.81,2.21
2020-03-31,13.24,$3.77,3.51
2019-12-31,19.22,$1.54,12.49
2019-09-30,15.9,$-0.62,0.0
2019-06-30,15.0,$-3.19,0.0
2019-03-31,17.18,$-2.12,0.0
2018-12-31,14.13,$-0.18,0.0
2018-09-30,16.05,$-0.60,0.0
2018-06-30,17.67,$-0.32,0.0
2018-03-31,17.31,$0.20,86.92
2017-12-31,20.69,$-0.58,0.0
2017-09-30,18.85,$1.46,12.94
2017-06-30,15.14,$3.10,4.89
2017-03-31,13.47,$3.17,4.26
2016-12-31,12.99,$3.69,3.53
2016-09-30,9.97,$2.72,3.66
2016-06-30,8.78,$0.77,11.39
2016-03-31,7.43,$0.95,7.79
2015-12-31,8.92,$-1.48,0.0
2015-09-30,9.84,$-2.45,0.0
2015-06-30,10.67,$-2.19,0.0
2015-03-31,11.14,$-3.12,0.0
2014-12-31,13.05,$-1.87,0.0
2014-09-30,13.62,$-0.71,0.0
2014-06-30,14.12,$-0.45,0.0
2014-03-31,13.23,$-1.15,0.0
2013-12-31,12.08,$-0.19,0.0
2013-09-30,10.8,$0.51,21.01
2013-06-30,10.08,$1.68,5.99
2013-03-31,9.82,$2.74,3.58
2012-12-31,8.42,$0.56,15.15
2012-09-30,7.84,$-1.34,0.0
2012-06-30,6.66,$-3.14,0.0
2012-03-31,8.64,$-3.89,0.0
2011-12-31,8.52,$-2.50,0.0
2011-09-30,5.77,$-1.24,0.0
2011-06-30,7.75,$-0.92,0.0
2011-03-31,8.06,$-0.45,0.0
2010-12-31,8.32,$-0.20,0.0
2010-09-30,6.25,$-0.53,0.0
2010-06-30,5.44,$0.26,20.67
2010-03-31,5.38,$0.56,9.56
2009-12-31,4.84,$1.19,4.08
