XPO Price to Free Cash Flow Ratio Historical Data,XPO Price to Free Cash Flow Ratio Historical Data,XPO Price to Free Cash Flow Ratio Historical Data,XPO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,114.27,,0.0
2024-06-30,106.15,$-6.79,0.0
2024-03-31,122.03,$-6.94,0.0
2023-12-31,87.59,$-6.86,0.0
2023-09-30,74.66,$0.68,109.34
2023-06-30,59.0,$1.20,49.0
2023-03-31,31.9,$1.61,19.85
2022-12-31,33.29,$3.40,9.79
2022-09-30,44.52,$1.88,23.69
2022-06-30,48.16,$2.02,23.79
2022-03-31,72.8,$3.27,22.25
2021-12-31,77.43,$3.03,25.52
2021-09-30,79.58,$3.73,21.33
2021-06-30,82.73,$1.86,44.36
2021-03-31,72.92,$1.60,45.51
2020-12-31,70.5,$2.18,32.39
2020-09-30,50.07,$4.48,11.18
2020-06-30,45.69,$6.84,6.68
2020-03-31,28.83,$6.94,4.15
2019-12-31,47.14,$4.59,10.26
2019-09-30,42.33,$5.74,7.38
2019-06-30,34.19,$4.95,6.9
2019-03-31,31.78,$4.85,6.55
2018-12-31,33.73,$5.14,6.56
2018-09-30,67.52,$3.23,20.91
2018-06-30,59.25,$4.13,14.36
2018-03-31,60.21,$1.98,30.38
2017-12-31,54.17,$3.64,14.89
2017-09-30,40.09,$2.50,16.03
2017-03-31,28.32,$1.82,15.56
2016-12-31,25.53,$1.69,15.09
2016-09-30,21.69,$0.07,319.86
2016-06-30,15.53,$-0.04,0.0
2016-03-31,18.16,$-1.39,0.0
2015-12-31,16.12,$-1.51,0.0
2017-06-30,38.22,$0.05,781.65
2015-09-30,14.09,$-0.96,0.0
2015-06-30,26.72,$-1.03,0.0
2015-03-31,26.89,$-0.47,0.0
2014-12-31,24.18,$-1.23,0.0
2014-09-30,22.28,$-1.24,0.0
2014-06-30,16.93,$-1.19,0.0
2014-03-31,17.39,$-2.11,0.0
2013-12-31,15.55,$-3.42,0.0
2013-09-30,12.82,$-3.62,0.0
2013-06-30,10.7,$-4.19,0.0
2013-03-31,9.96,$-3.23,0.0
2012-12-31,10.28,$-1.99,0.0
2012-09-30,7.24,$-0.82,0.0
2012-06-30,9.94,$-0.40,0.0
2012-03-31,9.94,$0.11,92.51
2011-12-31,7.3,$0.71,10.28
2011-09-30,4.54,$0.56,8.15
2011-06-30,7.36,$0.48,15.28
2011-03-31,5.02,$0.17,29.19
2010-12-31,6.06,$0.17,34.63
2010-09-30,4.45,$0.05,82.82
2010-06-30,2.98,$0.05,60.83
2010-03-31,3.45,$0.21,16.69
2009-12-31,3.03,$-0.03,0.0
