Credit Acceptance Price to Free Cash Flow Ratio Historical Data,Credit Acceptance Price to Free Cash Flow Ratio Historical Data,Credit Acceptance Price to Free Cash Flow Ratio Historical Data,Credit Acceptance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,475.55,,5.27
2024-06-30,514.68,$90.24,5.7
2024-03-31,551.55,$94.09,5.86
2023-12-31,532.73,$92.22,5.78
2023-09-30,460.12,$87.88,5.24
2023-06-30,507.93,$88.51,5.74
2023-03-31,436.04,$87.19,5.0
2022-12-31,474.4,$90.69,5.23
2022-09-30,438.0,$78.14,5.61
2022-06-30,473.41,$72.53,6.53
2022-03-31,550.37,$73.08,7.53
2021-12-31,687.68,$65.95,10.43
2021-09-30,585.3,$69.91,8.37
2021-06-30,454.11,$66.06,6.87
2021-03-31,360.23,$60.95,5.91
2020-12-31,346.14,$54.46,6.36
2020-09-30,338.64,$53.99,6.27
2020-06-30,419.01,$49.13,8.53
2020-03-31,255.69,$42.03,6.08
2019-12-31,442.33,$41.39,10.69
2019-09-30,461.31,$41.00,11.25
2019-06-30,483.83,$39.38,12.29
2019-03-31,451.93,$36.00,12.55
2018-12-31,381.76,$34.75,10.99
2018-09-30,438.07,$32.10,13.65
2018-06-30,353.4,$31.01,11.39
2018-03-31,330.41,$31.07,10.63
2017-12-31,323.48,$28.51,11.35
2017-09-30,280.17,$27.92,10.03
2017-06-30,257.14,$26.66,9.64
2017-03-31,199.41,$28.21,7.07
2016-12-31,217.51,$24.58,8.85
2016-09-30,201.07,$22.55,8.92
2016-06-30,185.08,$21.20,8.73
2016-03-31,181.55,$17.93,10.13
2015-12-31,214.02,$19.07,11.22
2015-09-30,196.87,$18.16,10.84
2015-06-30,246.18,$17.55,14.02
2015-03-31,195.0,$17.82,10.94
2014-12-31,136.41,$16.16,8.44
2014-09-30,126.07,$16.36,7.71
2014-06-30,123.1,$15.15,8.13
2014-03-31,142.15,$13.95,10.19
2013-12-31,129.99,$13.33,9.75
2013-09-30,110.81,$12.40,8.94
2013-06-30,105.05,$11.84,8.87
2013-03-31,122.14,$11.73,10.41
2012-12-31,101.68,$11.71,8.68
2012-09-30,85.51,$10.99,7.78
2012-06-30,84.43,$10.47,8.06
2012-03-31,101.01,$10.30,9.81
2011-12-31,82.28,$10.13,8.12
2011-09-30,64.36,$8.93,7.21
2011-06-30,84.47,$8.67,9.75
2011-03-31,70.96,$7.53,9.42
2010-12-31,62.77,$6.58,9.54
2010-09-30,60.56,$6.20,9.76
2010-06-30,48.77,$5.59,8.72
2010-03-31,41.24,$5.53,7.46
2009-12-31,42.1,$4.97,8.47
