UGI Price to Free Cash Flow Ratio Historical Data,UGI Price to Free Cash Flow Ratio Historical Data,UGI Price to Free Cash Flow Ratio Historical Data,UGI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.86,,10.04
2024-06-30,22.55,$2.48,9.1
2024-03-31,23.77,$2.20,10.81
2023-12-31,23.46,$2.75,8.54
2023-09-30,21.59,$0.78,27.79
2023-06-30,24.93,$-0.74,0.0
2023-03-31,31.7,$-0.37,0.0
2022-12-31,33.47,$1.37,24.38
2022-09-30,28.92,$-0.20,0.0
2022-06-30,34.22,$2.54,13.46
2022-03-31,31.81,$2.49,12.76
2021-12-31,39.93,$0.36,109.58
2021-09-30,36.78,$3.91,9.4
2021-06-30,39.66,$2.56,15.49
2021-03-31,34.86,$2.71,12.87
2020-12-31,29.48,$2.26,13.04
2020-09-30,27.55,$2.13,12.94
2020-06-30,26.3,$2.04,12.88
2020-03-31,21.82,$1.55,14.12
2019-12-31,36.59,$2.24,16.3
2019-09-30,40.43,$2.06,19.63
2019-06-30,42.67,$2.25,18.98
2019-03-31,44.02,$2.67,16.46
2018-12-31,42.18,$3.06,13.8
2018-09-30,43.67,$2.89,15.12
2018-06-30,40.79,$2.70,15.13
2018-03-31,34.62,$2.24,15.45
2017-12-31,36.38,$1.58,23.03
2017-09-30,36.12,$1.84,19.66
2017-06-30,37.12,$1.67,22.27
2017-03-31,37.69,$1.60,23.49
2016-12-31,34.99,$1.94,18.04
2016-09-30,34.17,$2.31,14.78
2016-06-30,34.0,$3.00,11.34
2016-03-31,30.11,$3.50,8.61
2015-12-31,25.08,$4.45,5.64
2015-09-30,25.68,$3.83,6.7
2015-06-30,25.24,$3.73,6.77
2015-03-31,23.73,$4.07,5.83
2014-12-31,27.46,$2.83,9.7
2014-09-30,24.51,$3.13,7.83
2014-06-30,24.06,$2.59,9.29
2014-03-31,21.6,$1.58,13.63
2013-12-31,19.51,$1.83,10.68
2013-09-30,18.28,$1.82,10.04
2013-06-30,18.14,$2.48,7.32
2013-03-31,17.68,$2.80,6.3
2012-12-31,14.95,$2.46,6.08
2012-09-30,14.39,$2.16,6.65
2012-06-30,13.23,$1.78,7.44
2012-03-31,12.13,$1.48,8.18
2011-12-31,12.97,$1.22,10.64
2011-09-30,11.48,$1.15,10.03
2011-06-30,13.81,$1.88,7.36
2011-03-31,14.13,$2.60,5.43
2010-12-31,13.46,$0.80,16.9
2010-09-30,12.1,$1.40,8.64
2010-03-31,11.02,$1.32,8.34
2009-12-31,9.96,$0.13,76.65
2009-09-30,10.24,$2.22,4.62
