Alamos Gold Price to Free Cash Flow Ratio Historical Data,Alamos Gold Price to Free Cash Flow Ratio Historical Data,Alamos Gold Price to Free Cash Flow Ratio Historical Data,Alamos Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.07,,43.87
2024-06-30,15.66,$0.46,34.23
2024-03-31,14.71,$0.35,42.56
2023-12-31,13.41,$0.31,43.11
2023-09-30,11.22,$0.32,35.13
2023-06-30,11.82,$0.23,51.61
2023-03-31,12.1,$0.09,131.4
2022-12-31,9.98,$-0.04,0.0
2022-09-30,7.3,$-0.12,0.0
2022-06-30,6.89,$-0.14,0.0
2022-03-31,8.23,$-0.15,0.0
2021-12-31,7.5,$0.02,373.02
2021-09-30,7.0,$0.21,34.03
2021-06-30,7.41,$0.42,17.84
2021-03-31,7.54,$0.39,19.14
2020-12-31,8.42,$0.31,27.2
2020-09-30,8.46,$0.17,48.39
2020-06-30,9.0,$-0.01,0.0
2020-03-31,4.79,$0.00,0.0
2019-12-31,5.75,$-0.01,0.0
2019-09-30,5.53,$-0.06,0.0
2019-06-30,5.75,$-0.09,0.0
2019-03-31,4.82,$-0.07,0.0
2018-12-31,3.41,$-0.02,0.0
2018-09-30,4.36,$0.05,92.16
2018-06-30,5.38,$0.09,59.65
2018-03-31,4.92,$0.06,78.68
2017-12-31,6.14,$0.05,133.88
2017-09-30,6.37,$0.01,442.49
2017-06-30,6.77,$-0.01,0.0
2016-12-31,6.44,$-0.04,0.0
2016-09-30,7.71,$-0.11,0.0
2016-06-30,8.09,$-0.23,0.0
2016-03-31,4.97,$-0.37,0.0
2015-12-31,3.09,$-0.40,0.0
2015-09-30,3.46,$-0.67,0.0
2015-06-30,5.3,$-0.34,0.0
2015-03-31,5.49,$-0.24,0.0
2014-12-31,6.68,$-0.20,0.0
2014-09-30,7.45,$0.21,35.38
2014-06-30,9.5,$-0.01,0.0
2014-03-31,8.45,$0.18,46.51
2013-12-31,11.36,$1.26,9.05
2013-06-30,11.24,$1.18,9.54
2013-03-31,12.65,$1.20,10.58
2012-12-31,16.23,$1.05,15.53
2012-09-30,17.78,$-0.05,0.0
2012-06-30,14.14,$0.18,77.38
