Agnico Eagle Mines Price to Free Cash Flow Ratio Historical Data,Agnico Eagle Mines Price to Free Cash Flow Ratio Historical Data,Agnico Eagle Mines Price to Free Cash Flow Ratio Historical Data,Agnico Eagle Mines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,82.18,,30.67
2024-06-30,65.08,$2.68,24.29
2024-03-31,59.01,$2.14,27.55
2023-12-31,53.82,$1.91,28.15
2023-09-30,44.26,$1.30,33.92
2023-06-30,48.28,$1.45,33.33
2023-03-31,48.85,$1.28,38.19
2022-12-31,49.4,$1.27,38.79
2022-09-30,39.81,$1.38,28.89
2022-06-30,42.72,$1.26,33.88
2022-03-31,56.74,$1.68,33.71
2021-12-31,48.89,$1.84,26.53
2021-09-30,47.37,$2.47,19.16
2021-06-30,54.9,$3.38,16.24
2021-03-31,52.24,$2.52,20.71
2020-12-31,63.32,$1.78,35.5
2020-09-30,71.1,$1.31,54.48
2020-06-30,57.07,$0.62,91.91
2020-03-31,35.34,$0.22,161.08
2019-12-31,54.5,$0.01,4780.61
2019-09-30,47.28,$-2.27,0.0
2019-06-30,45.1,$-2.95,0.0
2019-03-31,38.17,$-2.56,0.0
2018-12-31,35.35,$-1.92,0.0
2017-09-30,39.12,$-0.09,0.0
2017-06-30,38.97,$0.86,45.4
2017-03-31,36.58,$1.37,26.7
2016-12-31,36.11,$1.16,31.05
2016-09-30,46.48,$1.39,33.36
2016-06-30,45.8,$0.80,56.95
2016-03-31,30.9,$0.69,44.86
2015-12-31,22.41,$0.77,29.22
2015-09-30,21.52,$0.94,22.94
2015-06-30,24.04,$0.46,52.73
2015-03-31,23.61,$0.41,57.55
2014-12-31,20.98,$0.98,21.34
2014-09-30,24.4,$0.79,30.97
2014-06-30,32.12,$0.82,38.97
2014-03-31,25.3,$-0.04,0.0
2013-12-31,22.01,$-0.81,0.0
2013-09-30,21.91,$-1.09,0.0
2013-06-30,22.63,$-0.24,0.0
2013-03-31,33.49,$0.85,39.62
2012-12-31,42.58,$1.46,29.16
2012-09-30,41.96,$1.87,22.43
2012-06-30,32.58,$1.58,20.58
2012-03-31,26.74,$1.34,19.92
2011-12-31,28.94,$1.09,26.59
2011-09-30,47.24,$0.86,54.79
2011-06-30,49.99,$0.55,91.48
2011-03-31,52.41,$0.54,96.26
2010-12-31,60.45,$-0.15,0.0
2010-09-30,55.98,$-0.83,0.0
2010-06-30,47.9,$-1.89,0.0
2010-03-31,43.88,$-2.98,0.0
2009-12-31,42.3,$-3.42,0.0
2009-09-30,53.15,$-3.39,0.0
2009-06-30,41.11,$-2.63,0.0
2009-03-31,44.59,$-1.73,0.0
2018-09-30,29.92,$-1.51,0.0
