"Vista Oil & Gas, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","Vista Oil & Gas, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","Vista Oil & Gas, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data","Vista Oil & Gas, S.A.B De C.V Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.93,,0.0
2024-06-30,45.48,$-0.15,0.0
2024-03-31,41.38,$-0.98,0.0
2023-12-31,29.51,$0.24,124.1
2023-09-30,30.39,$-0.16,0.0
2023-06-30,24.12,$0.64,37.48
2023-03-31,19.79,$2.05,9.63
2022-12-31,15.66,$2.15,7.27
2022-09-30,9.42,$2.05,4.6
2022-06-30,7.39,$2.19,3.38
2022-03-31,9.09,$1.84,4.93
2021-12-31,5.33,$1.01,5.27
2021-09-30,5.03,$0.05,100.0
2021-06-30,4.1,$-0.48,0.0
2021-03-31,2.56,$-0.80,0.0
2020-12-31,2.56,$-0.68,0.0
2020-09-30,2.25,$-0.46,0.0
2020-06-30,3.05,$-1.66,0.0
