Advanced Drainage Systems Price to Free Cash Flow Ratio Historical Data,Advanced Drainage Systems Price to Free Cash Flow Ratio Historical Data,Advanced Drainage Systems Price to Free Cash Flow Ratio Historical Data,Advanced Drainage Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,156.79,,28.1
2024-06-30,160.23,$5.58,28.72
2024-03-31,172.06,$6.76,25.46
2023-12-31,140.38,$7.49,18.74
2023-09-30,113.49,$7.21,15.74
2023-06-30,113.31,$6.75,16.8
2023-03-31,83.74,$6.49,12.9
2022-12-31,81.4,$6.87,11.85
2022-09-30,123.36,$5.57,22.14
2022-06-30,89.26,$3.18,28.08
2022-03-31,117.61,$1.73,68.16
2021-12-31,134.63,$1.04,129.54
2021-09-30,106.88,$2.02,53.02
2021-06-30,115.07,$4.54,25.37
2021-03-31,101.96,$5.22,19.54
2020-12-31,82.36,$5.59,14.73
2020-09-30,61.45,$4.97,12.36
2020-06-30,48.54,$4.57,10.61
2020-03-31,28.87,$3.74,7.72
2019-12-31,38.0,$3.46,10.98
2019-09-30,31.5,$3.60,8.74
2019-06-30,31.92,$2.75,11.61
2019-03-31,24.17,$1.88,12.86
2018-12-31,22.67,$1.78,12.76
2018-09-30,28.89,$2.34,12.32
2018-06-30,26.62,$2.36,11.28
2018-03-31,24.09,$1.69,14.22
2017-12-31,22.12,$1.52,14.57
2017-09-30,18.72,$0.58,32.17
2017-06-30,18.52,$0.57,32.61
2017-03-31,20.1,$0.95,21.12
2016-12-31,18.86,$1.25,15.11
2016-09-30,21.97,$2.12,10.38
2016-06-30,24.92,$1.95,12.81
2016-03-31,19.35,$1.64,11.81
2015-12-31,21.78,$1.30,16.73
2015-09-30,26.17,$0.76,34.42
2015-06-30,26.48,$0.28,93.19
