CGI Price to Free Cash Flow Ratio Historical Data,CGI Price to Free Cash Flow Ratio Historical Data,CGI Price to Free Cash Flow Ratio Historical Data,CGI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,115.77,,17.68
2024-06-30,99.81,$6.55,15.24
2024-03-31,110.49,$6.28,17.6
2023-12-31,107.21,$6.08,17.64
2023-09-30,98.49,$6.09,16.17
2023-06-30,105.43,$5.68,18.55
2023-03-31,96.27,$5.73,16.81
2022-12-31,86.13,$5.84,14.75
2022-09-30,75.24,$5.52,13.62
2022-06-30,79.66,$5.73,13.91
2022-03-31,79.83,$5.61,14.24
2021-12-31,88.5,$5.94,14.89
2021-09-30,84.76,$6.24,13.59
2021-06-30,90.6,$5.95,15.23
2021-03-31,83.22,$6.34,13.13
2020-12-31,79.31,$5.56,14.26
2020-09-30,67.77,$5.06,13.39
2020-06-30,63.0,$4.73,13.32
2020-03-31,54.41,$4.09,13.29
2019-12-31,83.71,$4.24,19.75
2019-09-30,79.14,$3.99,19.83
2019-06-30,76.77,$3.80,20.18
2019-03-31,68.76,$4.70,14.64
2018-12-31,61.19,$3.59,17.05
2018-09-30,64.48,$3.65,17.66
2018-06-30,63.32,$3.68,17.19
2018-03-31,57.64,$2.55,22.61
2017-12-31,54.33,$3.39,16.03
2017-09-30,51.87,$3.14,16.53
2017-06-30,51.07,$4.42,11.56
2017-03-31,47.93,$4.66,10.28
2016-12-31,48.03,$4.25,11.31
2016-09-30,47.63,$4.18,11.4
2016-06-30,42.71,$3.41,12.53
2016-03-31,47.78,$2.84,16.81
2015-12-31,40.03,$2.97,13.48
2015-09-30,36.21,$3.11,11.63
2015-06-30,39.08,$2.85,13.7
2015-03-31,42.45,$3.41,12.44
2014-12-31,38.16,$3.72,10.27
2014-09-30,33.77,$2.91,11.59
2014-06-30,35.48,$2.66,13.33
2014-03-31,30.92,$2.10,14.72
2013-12-31,33.46,$1.53,21.88
2013-09-30,35.1,$2.07,16.93
2013-06-30,29.29,$1.40,20.9
2013-03-31,27.16,$1.93,14.06
2012-12-31,23.13,$1.97,11.72
2012-09-30,26.86,$1.88,14.29
2012-06-30,23.99,$2.37,10.14
2012-03-31,22.29,$1.84,12.13
2011-12-31,18.85,$2.11,8.93
2011-09-30,18.81,$1.89,9.94
2011-06-30,24.65,$1.75,14.11
2011-03-31,20.93,$1.76,11.9
2010-12-31,17.26,$1.52,11.38
2010-09-30,15.03,$1.73,8.67
2010-06-30,14.93,$1.71,8.71
2010-03-31,14.91,$1.84,8.08
2009-12-31,13.56,$2.06,6.58
