Lumen Technologies Price to Free Cash Flow Ratio Historical Data,Lumen Technologies Price to Free Cash Flow Ratio Historical Data,Lumen Technologies Price to Free Cash Flow Ratio Historical Data,Lumen Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.18,,11.07
2024-06-30,1.1,$0.56,1.97
2024-03-31,1.56,$-0.36,0.0
2023-12-31,1.83,$-0.79,0.0
2023-09-30,1.42,$-0.81,0.0
2023-06-30,2.26,$-0.58,0.0
2023-03-31,2.65,$-1.70,0.0
2022-12-31,5.22,$-0.92,0.0
2022-09-30,7.28,$0.04,182.46
2022-06-30,10.65,$0.70,15.21
2021-12-31,11.74,$3.50,3.35
2021-09-30,11.37,$3.64,3.12
2021-06-30,12.22,$3.38,3.62
2021-03-31,11.79,$3.17,3.72
2020-12-31,8.45,$2.73,3.09
2020-09-30,8.54,$2.78,3.07
2020-06-30,8.3,$2.90,2.86
2020-03-31,7.64,$3.01,2.54
2019-12-31,10.45,$2.94,3.56
2019-09-30,9.7,$3.05,3.18
2019-06-30,8.95,$3.18,2.81
2019-03-31,8.91,$3.22,2.77
2018-12-31,11.03,$3.77,2.93
2018-09-30,14.98,$5.65,2.65
2018-06-30,12.85,$5.01,2.57
2018-03-31,11.0,$3.87,2.84
2017-12-31,10.83,$3.66,2.96
2017-09-30,11.81,$0.96,12.26
2017-06-30,14.52,$0.90,16.1
2017-03-31,14.04,$-0.51,0.0
2016-12-31,13.85,$-0.44,0.0
2016-09-30,15.63,$0.61,25.67
2016-06-30,16.22,$1.19,13.61
2015-12-31,13.55,$4.17,3.25
2015-09-30,13.27,$5.86,2.26
2015-06-30,15.21,$6.08,2.5
2015-03-31,17.6,$6.44,2.73
2014-12-31,19.87,$5.85,3.4
2016-03-31,17.51,$4.73,3.7
2014-09-30,20.25,$3.71,5.47
2014-06-30,17.7,$5.47,3.24
2014-03-31,15.82,$5.55,2.85
2013-12-31,15.09,$5.54,2.72
2013-09-30,14.61,$6.33,2.31
2022-03-31,10.79,$4.18,2.58
2013-06-30,16.19,$5.26,3.08
2013-03-31,15.84,$5.19,3.05
2012-12-31,17.37,$5.36,3.24
2012-09-30,17.6,$4.64,3.8
2012-06-30,16.92,$3.92,4.31
2012-03-31,16.24,$3.30,4.92
2011-12-31,15.34,$3.35,4.58
2011-09-30,13.39,$4.19,3.19
2011-06-30,16.0,$4.24,3.78
2011-03-31,16.17,$4.45,3.64
2010-12-31,17.66,$3.92,4.51
2010-09-30,14.85,$5.21,2.85
2010-06-30,12.29,$2.31,5.33
2010-03-31,12.81,$3.23,3.96
2009-12-31,12.8,$4.11,3.11
