BOK Financial Price to Free Cash Flow Ratio Historical Data,BOK Financial Price to Free Cash Flow Ratio Historical Data,BOK Financial Price to Free Cash Flow Ratio Historical Data,BOK Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,114.66,,6.54
2024-06-30,91.13,$17.53,5.2
2024-03-31,90.96,$-72.61,0.0
2023-12-31,84.11,$-108.52,0.0
2023-09-30,77.94,$-87.15,0.0
2023-06-30,78.23,$-67.11,0.0
2022-12-31,99.28,$73.91,1.34
2022-09-30,84.56,$16.82,5.03
2022-06-30,71.52,$39.40,1.82
2022-03-31,88.36,$9.57,9.23
2021-12-31,98.69,$-52.02,0.0
2023-03-31,81.16,$35.32,2.3
2021-09-30,83.37,$-12.38,0.0
2021-06-30,80.15,$-25.04,0.0
2021-03-31,82.2,$14.83,5.54
2020-12-31,62.63,$-6.93,0.0
2020-09-30,46.75,$10.67,4.38
2020-06-30,50.79,$10.87,4.67
2020-03-31,37.91,$-20.31,0.0
2019-12-31,77.35,$-11.24,0.0
2019-09-30,69.62,$-20.88,0.0
2019-06-30,65.98,$-5.75,0.0
2019-03-31,70.86,$-22.73,0.0
2018-12-31,63.35,$-9.11,0.0
2018-09-30,83.57,$0.77,107.9
2018-06-30,80.35,$-14.98,0.0
2018-03-31,84.24,$3.13,26.89
2017-12-31,78.18,$3.68,21.27
2017-09-30,75.03,$3.68,20.41
2017-06-30,70.48,$-1.61,0.0
2017-03-31,65.23,$-6.75,0.0
2016-12-31,68.83,$-2.90,0.0
2016-09-30,56.83,$-8.16,0.0
2016-06-30,51.33,$7.22,7.11
2015-12-31,48.16,$3.34,14.41
2015-09-30,51.81,$0.90,57.4
2015-06-30,55.36,$-0.83,0.0
2015-03-31,48.39,$-5.65,0.0
2014-12-31,47.12,$-3.63,0.0
2016-03-31,44.39,$-2.19,0.0
2014-09-30,51.85,$1.57,33.11
2014-06-30,51.64,$7.66,6.74
2014-03-31,53.2,$9.08,5.86
2013-12-31,50.78,$11.05,4.6
2013-09-30,48.2,$10.15,4.75
2013-06-30,48.45,$6.25,7.76
2013-03-31,46.85,$7.89,5.94
2012-12-31,40.69,$9.82,4.14
2012-09-30,43.07,$10.41,4.14
2012-06-30,42.14,$10.10,4.17
2012-03-31,40.48,$5.19,7.81
2011-12-31,39.27,$5.79,6.78
2011-09-30,33.31,$5.79,5.75
2011-06-30,38.67,$7.30,5.3
2011-03-31,36.3,$10.64,3.41
2010-12-31,37.33,$5.00,7.47
2010-09-30,31.38,$2.92,10.77
2010-06-30,32.84,$4.48,7.34
2010-03-31,36.11,$7.31,4.94
2009-12-31,32.56,$4.15,7.84
