Enersys Price to Free Cash Flow Ratio Historical Data,Enersys Price to Free Cash Flow Ratio Historical Data,Enersys Price to Free Cash Flow Ratio Historical Data,Enersys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,103.07,,14.79
2024-06-30,103.27,$6.97,14.81
2024-03-31,94.03,$9.01,10.43
2023-12-31,100.25,$9.15,10.96
2023-09-30,93.79,$10.95,8.57
2023-06-30,107.27,$8.34,12.86
2023-03-31,85.73,$4.64,18.48
2022-12-31,72.71,$1.72,42.39
2022-09-30,57.15,$-3.58,0.0
2022-06-30,57.76,$-4.04,0.0
2022-03-31,72.86,$-3.23,0.0
2021-12-31,77.06,$-1.41,0.0
2021-09-30,72.39,$0.24,297.04
2021-06-30,94.83,$3.09,30.69
2021-03-31,87.94,$6.68,13.17
2020-12-31,80.3,$5.89,13.63
2020-09-30,64.76,$6.20,10.44
2020-06-30,61.95,$5.39,11.5
2020-03-31,47.52,$3.59,13.24
2019-12-31,71.52,$3.08,23.2
2019-09-30,62.88,$3.36,18.73
2019-06-30,65.14,$3.06,21.3
2019-03-31,61.8,$2.99,20.67
2018-12-31,73.41,$3.87,18.98
2018-09-30,82.24,$3.98,20.64
2018-06-30,70.3,$-0.94,0.0
2018-03-31,65.19,$0.31,213.26
2017-12-31,65.28,$-0.05,0.0
2017-09-30,64.68,$-0.93,0.0
2017-03-31,73.46,$4.47,16.45
2016-12-31,72.51,$8.35,8.69
2016-09-30,64.09,$7.69,8.34
2016-06-30,54.95,$8.03,6.84
2016-03-31,51.35,$8.40,6.11
2017-06-30,67.57,$4.37,15.46
2015-12-31,51.38,$5.13,10.02
2015-09-30,49.07,$5.37,9.13
2015-06-30,64.15,$3.56,18.01
2015-03-31,58.49,$2.76,21.15
2014-12-31,56.04,$3.46,16.19
2014-09-30,53.09,$1.78,29.81
2014-06-30,62.1,$2.76,22.51
2014-03-31,62.4,$2.67,23.34
2013-12-31,63.02,$2.91,21.68
2013-09-30,54.41,$4.19,12.98
2013-06-30,43.91,$4.18,10.49
2013-03-31,40.71,$3.89,10.46
2012-12-31,33.61,$3.40,9.89
2012-09-30,31.52,$4.16,7.57
2012-06-30,31.32,$3.22,9.73
2012-03-31,30.95,$3.16,9.81
2011-12-31,23.19,$2.03,11.43
2011-09-30,17.88,$0.75,23.94
2011-06-30,30.74,$0.92,33.3
2011-03-31,35.5,$0.34,104.51
2010-12-31,28.69,$0.33,87.86
2010-09-30,22.3,$0.27,83.62
2010-06-30,19.09,$0.30,62.7
2010-03-31,22.02,$1.90,11.62
2009-12-31,19.53,$5.14,3.8
