Home BancShares Price to Free Cash Flow Ratio Historical Data,Home BancShares Price to Free Cash Flow Ratio Historical Data,Home BancShares Price to Free Cash Flow Ratio Historical Data,Home BancShares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.98,,11.68
2024-06-30,23.78,$2.31,10.29
2024-03-31,24.21,$1.99,12.18
2023-12-31,24.76,$1.83,13.53
2023-09-30,20.3,$2.05,9.9
2023-06-30,21.93,$2.41,9.09
2023-03-31,20.7,$2.11,9.82
2022-12-31,21.57,$2.07,10.41
2022-09-30,21.17,$1.81,11.7
2022-06-30,19.41,$1.52,12.79
2022-03-31,20.95,$2.12,9.89
2021-12-31,22.42,$2.30,9.75
2021-09-30,21.55,$2.33,9.26
2021-06-30,22.46,$2.19,10.27
2021-03-31,24.49,$1.76,13.92
2020-12-31,17.53,$1.69,10.35
2020-09-30,13.54,$1.47,9.23
2020-06-30,13.64,$1.46,9.34
2020-03-31,10.53,$1.58,6.66
2019-12-31,17.15,$1.39,12.38
2019-09-30,16.28,$1.33,12.25
2019-06-30,16.57,$1.48,11.18
2019-03-31,15.01,$1.65,9.12
2018-12-31,13.87,$1.70,8.16
2018-09-30,18.48,$1.82,10.14
2018-06-30,18.94,$1.23,15.44
2018-03-31,19.06,$1.00,19.13
2017-12-31,19.33,$0.89,21.72
2017-09-30,20.87,$0.59,35.32
2017-06-30,20.51,$1.10,18.64
2017-03-31,22.22,$1.10,20.24
2016-12-31,22.71,$1.23,18.52
2016-09-30,16.96,$1.65,10.31
2016-06-30,16.06,$1.35,11.86
2016-03-31,16.55,$1.44,11.49
2015-12-31,16.31,$1.42,11.5
2015-09-30,16.25,$1.39,11.69
2015-06-30,14.62,$1.53,9.56
2015-03-31,13.5,$1.79,7.56
2014-12-31,12.76,$1.85,6.9
2014-09-30,11.63,$1.24,9.36
2014-06-30,12.94,$1.19,10.9
2014-03-31,13.54,$1.02,13.27
2013-12-31,14.65,$0.86,17.02
2013-09-30,11.89,$1.09,10.96
2013-06-30,10.14,$1.26,8.08
2013-03-31,7.33,$1.01,7.25
2012-12-31,6.4,$0.92,6.96
2012-09-30,6.55,$1.12,5.83
2012-06-30,5.86,$0.68,8.56
2012-03-31,5.08,$0.78,6.49
2011-12-31,4.92,$0.70,7.08
2011-09-30,4.02,$0.51,7.95
2011-06-30,4.46,$0.52,8.65
2011-03-31,4.28,$0.48,8.96
2010-12-31,4.14,$0.35,11.79
2010-09-30,3.81,$0.26,14.93
2010-06-30,4.26,$0.42,10.04
2010-03-31,4.48,$0.37,12.14
2009-12-31,4.07,$0.34,11.92
