Avantor Price to Free Cash Flow Ratio Historical Data,Avantor Price to Free Cash Flow Ratio Historical Data,Avantor Price to Free Cash Flow Ratio Historical Data,Avantor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.77,,22.94
2024-06-30,21.2,$1.08,19.63
2024-03-31,25.57,$0.94,27.17
2023-12-31,22.83,$1.07,21.4
2023-09-30,21.08,$1.02,20.6
2023-06-30,20.54,$1.06,19.29
2023-03-31,21.14,$-0.08,0.0
2022-12-31,21.09,$0.07,288.51
2022-09-30,19.6,$0.20,99.75
2022-06-30,31.1,$0.28,111.47
2021-12-31,42.14,$1.41,29.99
2021-09-30,40.9,$2.27,17.99
2021-06-30,35.51,$2.08,17.04
2021-03-31,28.93,$2.14,13.49
2020-12-31,28.15,$2.08,13.51
2022-03-31,33.82,$1.20,28.27
2020-09-30,22.49,$1.37,16.41
2020-06-30,17.0,$1.16,14.59
2020-03-31,12.49,$1.17,10.7
