TransUnion Price to Free Cash Flow Ratio Historical Data,TransUnion Price to Free Cash Flow Ratio Historical Data,TransUnion Price to Free Cash Flow Ratio Historical Data,TransUnion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,107.0,,51.41
2024-06-30,74.08,$2.08,35.59
2024-03-31,79.61,$1.63,48.8
2023-12-31,68.45,$1.73,39.55
2023-09-30,71.39,$1.79,39.83
2023-06-30,77.79,$1.99,39.12
2023-03-31,61.62,$0.30,207.96
2022-12-31,56.18,$-0.01,0.0
2022-09-30,58.8,$-0.23,0.0
2022-06-30,78.95,$0.31,253.46
2022-03-31,101.89,$2.24,45.48
2021-12-31,116.8,$3.03,38.59
2021-09-30,110.53,$3.46,31.95
2021-06-30,107.98,$3.00,36.01
2021-03-31,88.42,$0.50,176.64
2020-12-31,97.4,$0.69,140.51
2020-09-30,82.52,$1.10,74.71
2020-06-30,85.3,$1.09,78.18
2019-12-31,83.74,$3.07,27.29
2019-09-30,79.27,$3.87,20.49
2019-06-30,71.78,$3.08,23.3
2019-03-31,65.19,$3.08,21.17
2018-12-31,55.33,$3.10,17.85
2020-03-31,64.8,$1.96,33.11
2018-09-30,71.59,$1.91,37.45
2018-06-30,69.63,$1.98,35.23
2018-03-31,55.13,$1.92,28.66
2017-12-31,53.36,$1.74,30.66
2017-09-30,45.88,$1.76,26.06
2017-06-30,42.05,$1.53,27.47
2017-03-31,37.23,$1.59,23.44
2016-12-31,30.03,$1.44,20.85
2016-09-30,33.5,$1.49,22.5
2016-06-30,32.47,$1.25,25.99
2016-03-31,26.81,$1.12,23.95
