QIAGEN Price to Free Cash Flow Ratio Historical Data,QIAGEN Price to Free Cash Flow Ratio Historical Data,QIAGEN Price to Free Cash Flow Ratio Historical Data,QIAGEN Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.69,,23.32
2024-06-30,41.09,$1.83,22.44
2024-03-31,42.99,$1.60,26.85
2023-12-31,44.77,$1.34,33.34
2023-09-30,41.75,$1.21,34.51
2023-06-30,46.42,$1.65,28.2
2023-03-31,47.35,$1.92,24.7
2022-12-31,51.41,$2.55,20.19
2022-09-30,42.56,$2.94,14.49
2022-06-30,48.66,$2.55,19.05
2022-03-31,50.52,$2.43,20.83
2021-12-31,57.3,$2.00,28.72
2021-09-30,53.28,$2.33,22.86
2021-06-30,49.88,$1.86,26.89
2021-03-31,50.2,$1.82,27.64
2020-12-31,54.48,$1.43,38.09
2020-09-30,53.88,$0.80,67.65
2020-06-30,44.13,$1.09,40.59
2020-03-31,42.89,$0.86,50.12
2019-12-31,34.85,$0.97,36.0
2019-09-30,33.99,$0.94,36.05
2019-06-30,41.8,$0.88,47.42
2019-03-31,41.94,$1.07,39.31
2018-12-31,35.52,$1.10,32.2
2018-09-30,39.05,$1.45,26.92
2018-06-30,37.28,$1.41,26.35
2018-03-31,33.31,$1.35,24.71
2017-12-31,31.89,$1.56,20.49
2017-03-31,29.87,$1.22,24.58
2016-12-31,30.0,$1.15,26.03
2016-09-30,29.38,$1.11,26.54
2016-06-30,23.35,$0.68,34.38
2016-03-31,23.92,$0.70,34.13
2015-12-31,29.6,$0.77,38.43
2017-09-30,32.47,$0.65,50.16
2015-09-30,27.64,$0.93,29.64
2015-06-30,26.54,$0.89,29.69
2015-03-31,26.98,$0.91,29.65
2014-12-31,25.12,$0.86,29.37
2014-09-30,24.38,$0.90,27.19
2014-06-30,26.18,$0.84,31.25
2014-03-31,22.58,$0.76,29.61
2013-12-31,25.49,$0.77,33.04
2013-09-30,22.91,$0.30,76.57
2013-06-30,21.32,$0.20,104.74
2013-03-31,22.57,$0.28,81.56
2017-06-30,34.57,$0.44,78.79
2012-12-31,19.43,$0.64,30.3
2012-09-30,19.82,$0.70,28.48
2012-06-30,17.88,$0.68,26.34
2012-03-31,16.67,$0.55,30.14
2011-12-31,14.78,$0.72,20.63
2011-09-30,14.81,$0.79,18.79
2011-06-30,20.36,$1.08,18.83
2011-03-31,21.47,$0.85,25.23
2010-12-31,20.93,$0.78,26.81
2010-09-30,18.99,$0.57,33.31
2010-06-30,20.58,$0.74,27.96
2010-03-31,24.61,$0.78,31.7
2009-12-31,23.91,$0.74,32.49
