Golub Capital BDC Price to Free Cash Flow Ratio Historical Data,Golub Capital BDC Price to Free Cash Flow Ratio Historical Data,Golub Capital BDC Price to Free Cash Flow Ratio Historical Data,Golub Capital BDC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.44,,4.99
2024-06-30,15.21,$3.10,4.91
2024-03-31,15.63,$2.50,6.26
2023-12-31,13.78,$1.80,7.65
2023-09-30,12.99,$1.15,11.33
2023-06-30,11.63,$1.70,6.84
2023-03-31,11.39,$0.32,35.51
2022-12-31,10.79,$-1.06,0.0
2022-09-30,9.91,$-2.44,0.0
2022-06-30,10.14,$-5.67,0.0
2022-03-31,11.65,$-4.33,0.0
2021-12-31,11.6,$-1.90,0.0
2021-09-30,11.65,$-1.82,0.0
2021-06-30,11.15,$1.18,9.44
2021-03-31,10.38,$1.63,6.37
2020-12-31,9.85,$1.09,9.03
2020-09-30,9.03,$1.26,7.16
2020-06-30,7.77,$0.03,225.87
2020-03-31,8.19,$0.26,32.03
2019-12-31,11.8,$-0.70,0.0
2019-09-30,11.75,$-1.81,0.0
2019-06-30,10.91,$-0.77,0.0
2019-03-31,10.76,$-1.85,0.0
2018-12-31,9.75,$-1.87,0.0
2018-09-30,10.82,$-0.14,0.0
2018-06-30,10.38,$1.67,6.23
2018-03-31,9.98,$1.18,8.46
2017-12-31,9.97,$1.98,5.04
2017-09-30,10.1,$1.84,5.48
2017-06-30,10.09,$-0.22,0.0
2017-03-31,10.32,$-1.02,0.0
2016-09-30,9.2,$-1.08,0.0
2016-06-30,8.8,$0.52,16.87
2016-03-31,8.28,$-2.86,0.0
2015-12-31,7.81,$-1.66,0.0
2015-09-30,7.36,$-2.31,0.0
2015-06-30,7.49,$-4.45,0.0
2016-12-31,9.39,$-1.55,0.0
2015-03-31,7.79,$-2.08,0.0
2014-12-31,7.81,$-3.30,0.0
2014-09-30,6.82,$-5.64,0.0
2014-06-30,7.42,$-9.52,0.0
2014-03-31,7.35,$-8.96,0.0
2013-12-31,7.74,$-10.13,0.0
2013-06-30,6.83,$-8.31,0.0
2013-03-31,6.33,$-3.86,0.0
2012-12-31,6.01,$-4.67,0.0
2012-09-30,5.86,$-6.52,0.0
2012-06-30,5.45,$-6.09,0.0
2012-03-31,5.4,$-9.15,0.0
2011-12-31,5.36,$-8.32,0.0
2011-09-30,5.03,$-6.02,0.0
2011-06-30,4.96,$-12.44,0.0
2011-03-31,5.13,$-2.35,0.0
