Bright Horizons Family Solutions Price to Free Cash Flow Ratio Historical Data,Bright Horizons Family Solutions Price to Free Cash Flow Ratio Historical Data,Bright Horizons Family Solutions Price to Free Cash Flow Ratio Historical Data,Bright Horizons Family Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,131.67,,34.63
2024-06-30,110.08,$3.80,28.95
2024-03-31,113.36,$2.90,39.06
2023-12-31,94.24,$1.06,89.22
2023-09-30,81.46,$0.95,86.18
2022-12-31,63.1,$2.20,28.73
2022-09-30,57.65,$1.98,29.06
2022-06-30,84.52,$2.22,38.11
2022-03-31,132.69,$1.82,72.86
2021-12-31,125.88,$1.90,66.2
2023-06-30,92.45,$2.42,38.26
2021-09-30,139.42,$2.55,54.65
2021-06-30,147.11,$3.19,46.1
2021-03-31,171.45,$3.15,54.4
2020-12-31,172.99,$1.83,94.58
2020-09-30,152.04,$2.52,60.39
2023-03-31,76.99,$1.67,46.02
2020-06-30,117.2,$1.79,65.4
2020-03-31,102.0,$1.24,82.15
2019-12-31,150.29,$0.82,183.15
2019-09-30,152.5,$0.87,174.43
2019-06-30,150.87,$0.90,166.8
2018-12-31,111.45,$3.46,32.22
2018-09-30,117.84,$4.27,27.59
2018-06-30,102.52,$5.27,19.44
2018-03-31,99.72,$4.71,21.16
2017-12-31,94.0,$3.80,24.75
2019-03-31,127.11,$3.96,32.11
2017-09-30,86.21,$2.89,29.81
2017-06-30,77.21,$2.40,32.16
2017-03-31,72.49,$2.49,29.06
2016-12-31,70.02,$2.30,30.5
2016-09-30,66.89,$2.07,32.28
2016-06-30,66.31,$2.29,28.98
2016-03-31,64.78,$2.23,29.1
2015-12-31,66.8,$1.48,45.12
2015-09-30,64.24,$1.84,34.99
2015-06-30,57.8,$1.69,34.28
2015-03-31,51.27,$1.54,33.34
2014-12-31,47.01,$1.61,29.14
2014-09-30,42.06,$1.49,28.17
2014-06-30,42.94,$1.61,26.66
2014-03-31,39.11,$1.42,27.59
2013-12-31,36.74,$1.40,26.23
