US Foods Holding Price to Free Cash Flow Ratio Historical Data,US Foods Holding Price to Free Cash Flow Ratio Historical Data,US Foods Holding Price to Free Cash Flow Ratio Historical Data,US Foods Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.0,,20.21
2024-06-30,52.98,$3.07,17.27
2024-03-31,53.97,$2.71,19.92
2023-12-31,45.41,$3.36,13.5
2023-09-30,39.7,$3.72,10.68
2023-06-30,44.0,$3.91,11.25
2023-03-31,36.94,$2.73,13.53
2022-12-31,34.02,$2.26,15.08
2022-09-30,26.44,$0.78,33.82
2022-06-30,30.68,$0.56,54.58
2022-03-31,37.63,$0.48,78.07
2021-12-31,34.83,$0.68,51.55
2021-09-30,34.66,$0.90,38.66
2021-06-30,38.36,$-1.05,0.0
2021-03-31,38.12,$2.45,15.56
2020-12-31,33.31,$1.22,27.34
2020-09-30,22.22,$2.33,9.55
2020-06-30,19.72,$3.90,5.06
2020-03-31,17.71,$1.25,14.12
2019-12-31,41.89,$2.32,18.04
2019-09-30,41.1,$2.32,17.73
2019-06-30,35.76,$2.16,16.53
2019-03-31,34.91,$1.53,22.86
2018-12-31,31.64,$1.73,18.3
2018-09-30,30.82,$2.20,14.04
2018-06-30,37.82,$2.19,17.27
2018-03-31,32.77,$2.84,11.53
2017-12-31,31.93,$2.45,13.05
2017-09-30,26.7,$1.97,13.58
2017-06-30,27.22,$1.85,14.74
2017-03-31,27.98,$2.20,12.71
