Tempur Sealy Price to Free Cash Flow Ratio Historical Data,Tempur Sealy Price to Free Cash Flow Ratio Historical Data,Tempur Sealy Price to Free Cash Flow Ratio Historical Data,Tempur Sealy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.42,,19.16
2024-06-30,47.22,$2.63,17.94
2024-03-31,56.54,$2.46,23.03
2023-12-31,50.59,$2.17,23.3
2023-09-30,42.9,$1.85,23.13
2023-06-30,39.56,$1.54,25.75
2023-03-31,38.88,$0.54,72.45
2022-12-31,33.71,$0.40,84.06
2022-09-30,23.63,$0.78,30.16
2022-06-30,20.84,$1.30,15.99
2022-03-31,27.12,$0.51,53.12
2021-12-31,45.53,$0.93,48.92
2021-09-30,44.84,$1.95,22.97
2021-06-30,37.78,$1.33,28.46
2020-12-31,25.93,$2.56,10.13
2020-09-30,21.41,$2.73,7.85
2020-06-30,17.27,$1.60,10.77
2020-03-31,10.49,$1.57,6.68
2019-12-31,20.9,$1.71,12.19
2021-03-31,35.18,$0.93,38.02
2019-09-30,18.53,$0.89,20.72
2019-06-30,17.61,$0.74,23.82
2019-03-31,13.84,$0.64,21.71
2018-12-31,9.94,$0.61,16.36
2018-09-30,12.7,$0.42,30.44
2018-06-30,11.53,$0.54,21.5
2018-03-31,10.87,$0.52,20.74
2017-12-31,15.05,$0.87,17.34
2017-09-30,15.49,$0.95,16.38
2017-06-30,12.82,$0.56,23.03
2017-03-31,11.15,$0.82,13.63
2016-12-31,16.39,$0.44,36.92
2016-09-30,13.62,$0.63,21.47
2016-06-30,13.28,$0.89,14.94
2016-03-31,14.59,$0.63,23.01
2015-12-31,16.91,$0.67,25.17
2015-09-30,17.15,$0.44,39.38
2015-06-30,15.82,$0.38,41.22
2015-03-31,13.86,$0.67,20.82
2014-12-31,13.18,$0.72,18.43
2014-09-30,13.48,$0.53,25.27
2014-06-30,14.33,$0.59,24.16
2014-03-31,12.16,$0.20,60.52
2013-12-31,12.95,$0.24,54.56
2013-09-30,10.55,$0.38,27.7
2013-06-30,10.54,$0.17,61.85
2013-03-31,11.91,$0.41,29.21
2012-12-31,7.56,$0.55,13.64
2012-09-30,7.18,$0.69,10.36
2012-06-30,5.62,$0.72,7.78
2012-03-31,20.27,$0.76,26.69
2011-12-31,12.61,$0.79,15.9
2011-09-30,12.63,$0.71,17.84
2011-06-30,16.28,$0.69,23.62
2011-03-31,12.16,$0.68,17.87
2010-12-31,9.62,$0.57,16.87
2010-09-30,7.44,$0.64,11.6
2010-06-30,7.38,$0.52,14.1
2010-03-31,7.24,$0.46,15.58
2009-12-31,5.67,$0.76,7.44
