Balchem Price to Free Cash Flow Ratio Historical Data,Balchem Price to Free Cash Flow Ratio Historical Data,Balchem Price to Free Cash Flow Ratio Historical Data,Balchem Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,172.03,,35.25
2024-06-30,153.95,$4.88,31.54
2024-03-31,154.95,$4.59,33.72
2023-12-31,148.75,$4.55,32.67
2023-09-30,123.38,$3.68,33.55
2023-06-30,134.1,$3.33,40.29
2023-03-31,125.81,$3.61,34.83
2022-12-31,121.46,$2.74,44.31
2022-09-30,120.23,$2.80,42.88
2022-06-30,128.3,$2.93,43.85
2022-03-31,135.19,$2.63,51.36
2021-12-31,166.73,$3.78,44.12
2021-09-30,142.91,$3.94,36.28
2021-06-30,129.31,$3.86,33.53
2021-03-31,123.55,$4.12,30.01
2020-12-31,113.51,$3.59,31.6
2020-09-30,95.69,$2.97,32.22
2020-06-30,92.98,$3.57,26.05
2020-03-31,96.76,$0.43,223.72
2019-12-31,99.61,$0.94,105.55
2019-09-30,96.72,$1.29,75.17
2019-06-30,97.48,$0.37,260.64
2018-12-31,76.4,$3.05,25.04
2018-09-30,108.6,$4.14,26.23
2018-06-30,95.09,$3.78,25.16
2018-03-31,79.21,$4.07,19.48
2017-12-31,78.09,$3.86,20.24
2019-03-31,90.49,$2.35,38.57
2017-09-30,78.35,$2.66,29.48
2017-06-30,74.9,$2.44,30.7
2017-03-31,79.44,$2.68,29.64
2016-12-31,80.88,$2.65,30.53
2016-09-30,74.38,$2.29,32.53
2016-06-30,57.22,$2.18,26.27
2016-03-31,59.5,$1.92,30.97
2015-12-31,58.33,$1.98,29.49
2015-09-30,57.98,$2.53,22.94
2015-06-30,53.16,$2.63,20.19
2015-03-31,52.84,$2.66,19.83
2014-12-31,63.58,$2.31,27.47
2014-09-30,53.73,$1.85,29.02
2014-06-30,50.87,$1.71,29.75
2014-03-31,49.51,$1.80,27.46
2013-12-31,55.76,$1.54,36.18
2013-09-30,48.93,$1.18,41.53
2013-06-30,42.32,$0.99,42.6
2013-03-31,41.55,$0.08,528.62
2012-12-31,34.47,$0.35,98.68
2012-09-30,34.52,$0.75,45.95
2012-06-30,30.65,$0.66,46.18
2011-12-31,38.1,$1.27,30.07
2011-09-30,34.91,$1.66,21.07
2011-06-30,40.96,$1.52,26.89
2011-03-31,35.11,$1.74,20.23
2010-12-31,31.64,$1.59,19.93
2012-03-31,28.43,$1.16,24.57
2010-09-30,28.75,$1.06,27.2
2010-06-30,23.29,$1.04,22.47
2010-03-31,22.96,$1.18,19.45
2009-12-31,20.81,$1.55,13.46
