Lumentum Holdings Price to Free Cash Flow Ratio Historical Data,Lumentum Holdings Price to Free Cash Flow Ratio Historical Data,Lumentum Holdings Price to Free Cash Flow Ratio Historical Data,Lumentum Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,69.62,,0.0
2024-06-30,50.92,$-1.66,0.0
2024-03-31,47.35,$-1.56,0.0
2023-12-31,52.42,$-1.40,0.0
2023-09-30,45.18,$-0.11,0.0
2023-06-30,56.73,$0.76,75.09
2023-03-31,54.01,$1.73,31.19
2022-12-31,52.17,$2.76,18.88
2022-09-30,68.57,$4.35,15.75
2022-06-30,79.42,$5.05,15.74
2022-03-31,97.6,$5.47,17.86
2021-12-31,105.77,$9.24,11.45
2021-09-30,83.54,$8.17,10.23
2021-06-30,82.03,$8.51,9.64
2021-03-31,91.35,$8.28,11.04
2020-12-31,94.8,$5.38,17.61
2020-09-30,75.13,$5.82,12.92
2020-06-30,81.43,$5.65,14.42
2020-03-31,73.7,$5.01,14.7
2019-12-31,79.3,$4.14,19.14
2019-09-30,53.56,$2.72,19.71
2019-06-30,53.41,$2.30,23.19
2019-03-31,56.54,$1.86,30.46
2018-12-31,42.01,$2.19,19.17
2018-09-30,59.95,$2.71,22.14
2018-06-30,57.9,$2.44,23.75
2018-03-31,63.8,$1.75,36.48
2017-12-31,48.9,$0.26,185.09
2017-09-30,54.35,$-0.85,0.0
2017-06-30,57.05,$-0.88,0.0
2017-03-31,53.35,$-0.55,0.0
2016-12-31,38.65,$-0.35,0.0
2016-09-30,41.77,$0.26,162.28
2016-06-30,24.2,$0.08,311.05
