Avidity Biosciences Price to Free Cash Flow Ratio Historical Data,Avidity Biosciences Price to Free Cash Flow Ratio Historical Data,Avidity Biosciences Price to Free Cash Flow Ratio Historical Data,Avidity Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.52,,0.0
2024-06-30,40.85,$-1.55,0.0
2024-03-31,25.52,$-1.79,0.0
2023-12-31,9.05,$-1.69,0.0
2023-09-30,6.38,$-2.68,0.0
2023-06-30,11.09,$-2.74,0.0
2023-03-31,15.35,$-2.76,0.0
2022-12-31,22.19,$-2.67,0.0
2022-09-30,16.33,$-2.61,0.0
2022-06-30,14.53,$-2.42,0.0
2022-03-31,18.47,$-2.47,0.0
2021-12-31,23.77,$-2.38,0.0
2021-09-30,24.63,$-2.73,0.0
2021-06-30,24.71,$-1.33,0.0
2021-03-31,21.81,$-2.30,0.0
