StepStone Group Price to Free Cash Flow Ratio Historical Data,StepStone Group Price to Free Cash Flow Ratio Historical Data,StepStone Group Price to Free Cash Flow Ratio Historical Data,StepStone Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,60.98,,29.07
2024-06-30,45.89,$2.10,21.88
2024-03-31,35.74,$2.13,16.76
2023-12-31,31.83,$2.07,15.35
2023-09-30,31.58,$1.74,18.18
2023-06-30,24.81,$2.18,11.4
2023-03-31,24.27,$2.35,10.32
2022-12-31,25.18,$3.41,7.38
2022-09-30,24.51,$3.37,7.26
2022-06-30,25.84,$3.15,8.19
2022-03-31,32.57,$3.96,8.23
2021-12-31,40.78,$3.73,10.92
2021-09-30,41.68,$4.56,9.13
2021-06-30,33.58,$6.19,5.43
