Amkor Technology Price to Free Cash Flow Ratio Historical Data,Amkor Technology Price to Free Cash Flow Ratio Historical Data,Amkor Technology Price to Free Cash Flow Ratio Historical Data,Amkor Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.95,,14.81
2024-06-30,39.91,$2.09,19.1
2024-03-31,32.07,$2.10,15.24
2023-12-31,33.02,$2.14,15.43
2023-09-30,22.37,$1.65,13.56
2023-06-30,29.37,$0.86,34.18
2023-03-31,25.61,$1.07,23.97
2022-12-31,23.53,$0.79,29.92
2022-09-30,16.69,$0.71,23.44
2022-06-30,16.55,$1.15,14.4
2022-03-31,21.15,$0.53,40.25
2021-12-31,24.09,$0.74,32.63
2021-09-30,24.19,$0.12,195.7
2021-06-30,22.92,$0.58,39.73
2020-12-31,14.55,$0.91,15.96
2020-09-30,10.78,$0.81,13.24
2020-06-30,11.85,$0.88,13.46
2020-03-31,7.5,$0.85,8.82
2019-12-31,12.51,$0.90,13.89
2021-03-31,22.91,$0.12,190.15
2019-09-30,8.76,$0.55,15.94
2019-06-30,7.18,$0.86,8.39
2019-03-31,8.22,$0.21,38.96
2018-12-31,6.31,$0.50,12.7
2018-09-30,7.11,$0.11,64.59
2018-06-30,8.27,$-0.14,0.0
2018-03-31,9.75,$0.46,21.24
2017-12-31,9.67,$0.87,11.1
2017-09-30,10.15,$0.98,10.34
2017-06-30,9.4,$1.12,8.41
2017-03-31,11.15,$0.85,13.14
2016-12-31,10.15,$0.53,19.33
2016-09-30,9.35,$-0.02,0.0
2016-06-30,5.53,$-0.28,0.0
2016-03-31,5.67,$-0.29,0.0
2015-12-31,5.85,$0.23,25.72
2015-09-30,4.31,$0.23,19.04
2015-06-30,5.75,$-0.14,0.0
2015-03-31,8.5,$-0.09,0.0
2014-12-31,6.83,$-0.27,0.0
2014-09-30,8.09,$-0.16,0.0
2014-06-30,10.76,$-0.02,0.0
2013-12-31,5.9,$0.08,75.05
2013-09-30,4.12,$-0.74,0.0
2013-06-30,4.05,$-0.57,0.0
2013-03-31,3.85,$-0.39,0.0
2012-12-31,4.08,$-0.72,0.0
2014-03-31,6.6,$-0.23,0.0
2012-09-30,4.25,$-0.39,0.0
2012-06-30,4.7,$-0.38,0.0
2012-03-31,5.91,$-0.04,0.0
2011-12-31,4.2,$0.24,17.41
2011-09-30,4.2,$0.27,15.77
2011-06-30,5.94,$0.27,22.21
2011-03-31,6.49,$0.25,26.27
2010-12-31,7.13,$0.35,20.14
2010-09-30,6.32,$0.34,18.55
2010-06-30,5.3,$0.48,10.95
2010-03-31,6.81,$0.89,7.68
2009-12-31,6.89,$0.18,38.88
