Valvoline Price to Free Cash Flow Ratio Historical Data,Valvoline Price to Free Cash Flow Ratio Historical Data,Valvoline Price to Free Cash Flow Ratio Historical Data,Valvoline Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.05,,0.0
2024-06-30,43.2,$-0.21,0.0
2024-03-31,44.57,$-1.53,0.0
2023-12-31,37.58,$-1.25,0.0
2023-09-30,32.24,$-1.36,0.0
2023-06-30,37.51,$-0.79,0.0
2023-03-31,34.94,$0.81,43.08
2022-12-31,32.65,$0.57,57.37
2022-09-30,25.24,$0.84,29.92
2022-06-30,28.6,$1.17,24.52
2022-03-31,31.19,$1.22,25.65
2021-12-31,36.71,$1.40,26.2
2021-09-30,30.59,$1.64,18.66
2021-06-30,31.72,$1.57,20.23
2021-03-31,25.38,$1.60,15.87
2020-12-31,22.41,$1.55,14.43
2020-09-30,18.34,$1.48,12.38
2020-06-30,18.52,$1.35,13.68
2020-03-31,12.47,$1.21,10.31
2019-12-31,20.27,$1.01,20.17
2019-09-30,20.76,$1.15,18.08
2019-06-30,18.31,$1.24,14.83
2019-03-31,17.3,$1.22,14.21
2018-12-31,17.94,$1.43,12.55
2018-09-30,19.94,$1.15,17.3
2018-06-30,19.93,$-0.87,0.0
2018-03-31,20.37,$-0.79,0.0
2017-12-31,22.99,$-1.33,0.0
2017-09-30,21.45,$-0.97,0.0
2017-06-30,21.65,$2.00,10.82
