Walker & Dunlop Price to Free Cash Flow Ratio Historical Data,Walker & Dunlop Price to Free Cash Flow Ratio Historical Data,Walker & Dunlop Price to Free Cash Flow Ratio Historical Data,Walker & Dunlop Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,116.31,,5.71
2024-06-30,97.58,$20.37,4.79
2024-03-31,99.79,$17.29,5.77
2023-12-31,108.87,$-0.51,0.0
2023-09-30,72.26,$52.12,1.39
2023-06-30,76.41,$-5.11,0.0
2023-03-31,72.95,$1.57,46.33
2022-12-31,74.61,$47.75,1.56
2022-09-30,79.04,$18.85,4.19
2022-06-30,90.46,$28.98,3.12
2022-03-31,120.81,$14.74,8.2
2021-12-31,140.23,$27.31,5.13
2021-09-30,105.14,$22.04,4.77
2021-06-30,96.2,$5.29,18.19
2021-03-31,94.21,$5.92,15.91
2020-12-31,83.97,$-45.50,0.0
2020-09-30,48.13,$-57.10,0.0
2020-06-30,45.84,$-7.70,0.0
2020-03-31,35.99,$8.77,4.11
2019-12-31,57.53,$13.72,4.19
2019-09-30,49.52,$33.52,1.48
2019-06-30,46.86,$4.71,9.95
2019-03-31,44.59,$-8.24,0.0
2018-12-31,37.68,$1.89,19.92
2018-09-30,45.83,$40.32,1.14
2018-06-30,48.01,$12.72,3.77
2018-03-31,51.02,$19.42,2.63
2017-12-31,40.58,$33.85,1.2
2017-09-30,44.71,$-58.63,0.0
2017-06-30,41.72,$26.53,1.57
2017-03-31,35.62,$-18.94,0.0
2016-12-31,26.66,$24.79,1.08
2016-09-30,21.58,$-1.40,0.0
2016-06-30,19.46,$-39.05,0.0
2016-03-31,20.73,$27.34,0.76
2015-12-31,24.61,$-43.30,0.0
2015-09-30,22.28,$-6.61,0.0
2015-06-30,22.84,$-3.45,0.0
2015-03-31,15.15,$-26.22,0.0
2014-12-31,14.98,$-21.63,0.0
2014-09-30,11.35,$-12.23,0.0
2014-06-30,12.05,$-5.51,0.0
2014-03-31,13.97,$4.14,3.37
2013-12-31,13.81,$24.24,0.57
2013-09-30,13.59,$24.71,0.55
2013-06-30,14.95,$-7.48,0.0
2013-03-31,15.35,$-13.70,0.0
2012-12-31,14.23,$-32.65,0.0
2012-09-30,13.13,$-42.88,0.0
2012-06-30,10.98,$3.25,3.38
2012-03-31,10.76,$-6.98,0.0
2011-12-31,10.73,$2.50,4.3
2011-09-30,9.93,$-1.08,0.0
