Immunovant Price to Free Cash Flow Ratio Historical Data,Immunovant Price to Free Cash Flow Ratio Historical Data,Immunovant Price to Free Cash Flow Ratio Historical Data,Immunovant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.26,,0.0
2024-06-30,26.4,$-1.71,0.0
2024-03-31,32.31,$-1.55,0.0
2023-12-31,42.13,$-1.57,0.0
2023-09-30,38.39,$-1.61,0.0
2023-06-30,18.97,$-1.33,0.0
2023-03-31,15.51,$-1.53,0.0
2022-12-31,17.75,$-1.36,0.0
2022-09-30,5.58,$-1.33,0.0
2022-06-30,3.9,$-1.32,0.0
2022-03-31,5.51,$-0.97,0.0
2021-12-31,8.52,$-0.97,0.0
2021-09-30,8.69,$-0.88,0.0
2021-06-30,10.57,$-0.97,0.0
2021-03-31,16.04,$-0.95,0.0
2020-12-31,46.19,$-1.86,0.0
