TXNM Energy Price to Free Cash Flow Ratio Historical Data,TXNM Energy Price to Free Cash Flow Ratio Historical Data,TXNM Energy Price to Free Cash Flow Ratio Historical Data,TXNM Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.51,,0.0
2024-06-30,36.61,$-7.13,0.0
2024-03-31,36.89,$-6.62,0.0
2023-12-31,40.77,$-5.70,0.0
2023-09-30,43.72,$-5.02,0.0
2023-06-30,43.84,$-4.11,0.0
2023-03-31,47.32,$-4.14,0.0
2022-12-31,47.07,$-4.01,0.0
2022-09-30,44.12,$-6.67,0.0
2022-06-30,46.1,$-5.62,0.0
2022-03-31,45.99,$-4.58,0.0
2021-12-31,43.66,$-4.50,0.0
2021-09-30,47.06,$-1.83,0.0
2021-06-30,46.38,$-2.04,0.0
2021-03-31,46.34,$-2.82,0.0
2020-12-31,45.55,$-2.41,0.0
2020-09-30,38.55,$-0.26,0.0
2020-06-30,35.86,$-0.55,0.0
2020-03-31,35.44,$0.05,689.59
2019-12-31,47.03,$0.17,283.33
2019-09-30,48.3,$-1.48,0.0
2019-06-30,46.94,$-1.03,0.0
2019-03-31,43.65,$-0.89,0.0
2018-12-31,37.89,$-0.91,0.0
2018-09-30,36.12,$-1.11,0.0
2018-06-30,35.38,$-0.73,0.0
2018-03-31,34.56,$-0.41,0.0
2017-12-31,36.28,$0.29,126.41
2017-09-30,35.94,$0.66,54.67
2017-06-30,34.11,$0.43,79.13
2017-03-31,33.0,$0.16,202.21
2016-12-31,30.59,$-2.39,0.0
2016-09-30,28.98,$-3.46,0.0
2016-06-30,31.39,$-3.81,0.0
2016-03-31,29.87,$-4.07,0.0
2015-12-31,27.08,$-2.14,0.0
2015-09-30,24.85,$-1.93,0.0
2015-06-30,21.62,$-1.65,0.0
2015-03-31,25.49,$-0.90,0.0
2014-12-31,25.7,$-0.57,0.0
2014-09-30,21.46,$-0.07,0.0
2014-06-30,25.27,$-0.06,0.0
2014-03-31,23.29,$1.32,17.68
2013-12-31,20.78,$0.48,43.35
2013-09-30,19.36,$0.74,26.24
2013-06-30,18.85,$1.17,16.06
2013-03-31,19.65,$-0.40,0.0
2012-12-31,17.18,$-0.34,0.0
2012-09-30,17.5,$-0.10,0.0
2012-06-30,16.15,$-1.08,0.0
2012-03-31,15.12,$-1.21,0.0
2011-12-31,14.84,$-0.39,0.0
2011-09-30,13.28,$-0.73,0.0
2011-06-30,13.43,$-0.02,0.0
2011-03-31,11.87,$0.90,13.2
2010-12-31,10.26,$0.06,160.29
2010-09-30,8.88,$-0.55,0.0
2010-06-30,8.62,$-1.02,0.0
2010-03-31,9.66,$-2.02,0.0
2009-12-31,9.56,$-2.19,0.0
