SK Telecom Price to Free Cash Flow Ratio Historical Data,SK Telecom Price to Free Cash Flow Ratio Historical Data,SK Telecom Price to Free Cash Flow Ratio Historical Data,SK Telecom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.67,,4.83
2024-03-31,21.22,$4.69,4.52
2023-12-31,20.74,$4.07,5.1
2023-09-30,20.39,$4.49,4.54
2023-06-30,18.24,$3.10,5.89
2023-03-31,18.84,$3.41,5.52
2022-12-31,18.6,$4.02,4.63
2022-09-30,17.11,$3.98,4.3
2022-06-30,19.47,$3.98,4.89
2022-03-31,22.02,$4.07,5.41
2021-12-31,22.59,$3.27,6.91
2021-09-30,41.99,$3.26,12.87
2021-06-30,43.47,$4.63,9.39
2021-03-31,37.4,$5.22,7.17
2020-12-31,33.62,$4.76,7.07
2020-09-30,29.7,$4.37,6.79
2020-06-30,25.6,$3.64,7.03
2020-03-31,21.45,$2.83,7.58
2019-09-30,28.27,$2.38,11.88
2019-03-31,31.07,$3.57,8.71
2018-12-31,34.0,$3.77,9.02
2018-09-30,34.26,$2.25,15.25
2018-06-30,28.66,$3.67,7.8
2018-03-31,29.57,$2.57,11.52
2017-12-31,34.15,$2.72,12.54
2017-09-30,29.11,$3.68,7.91
2017-06-30,30.39,$3.12,9.73
2017-03-31,29.69,$4.47,6.65
2016-12-31,24.65,$4.14,5.95
2016-09-30,25.57,$3.99,6.41
2016-06-30,23.67,$5.12,4.62
2016-03-31,22.71,$4.08,5.56
2015-12-31,22.69,$3.15,7.21
2015-09-30,26.36,$12.16,2.17
2015-06-30,26.78,$6.27,4.27
2015-03-31,29.29,$9.73,3.01
2014-12-31,29.07,$9.39,3.1
2014-09-30,32.65,$-0.20,0.0
2014-06-30,27.92,$4.80,5.82
2014-03-31,24.29,$0.66,36.63
2013-12-31,26.5,$1.65,16.08
2013-09-30,23.77,$-1.00,0.0
2013-06-30,21.29,$-0.98,0.0
2013-03-31,18.62,$-1.23,0.0
2012-12-31,16.49,0,0.0
2012-09-30,14.38,$-3.50,0.0
2012-06-30,11.97,$-2.97,0.0
2012-03-31,13.7,$-1.26,0.0
2011-12-31,13.4,0,0.0
2011-09-30,13.24,$5.72,2.31
2011-06-30,17.6,$4.64,3.79
2011-03-31,17.63,$2.87,6.14
2010-12-31,17.46,$1.81,9.66
2010-06-30,13.33,$1.81,7.38
2010-03-31,15.55,$1.81,8.61
2009-12-31,14.65,$1.81,8.11
