Chord Energy Price to Free Cash Flow Ratio Historical Data,Chord Energy Price to Free Cash Flow Ratio Historical Data,Chord Energy Price to Free Cash Flow Ratio Historical Data,Chord Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,130.58,,33.5
2024-06-30,167.68,$3.90,43.02
2024-03-31,178.24,$10.17,17.52
2023-12-31,166.23,$12.73,13.06
2023-09-30,162.07,$21.76,7.45
2023-06-30,153.8,$14.98,10.27
2023-03-31,134.6,$34.23,3.93
2022-12-31,136.81,$38.59,3.55
2022-09-30,136.77,$4.32,31.66
2022-06-30,105.97,$18.74,5.65
2022-03-31,124.6,$8.19,15.21
2021-12-31,104.71,$5.39,19.44
2021-09-30,82.31,$21.95,3.75
