Nokia Price to Free Cash Flow Ratio Historical Data,Nokia Price to Free Cash Flow Ratio Historical Data,Nokia Price to Free Cash Flow Ratio Historical Data,Nokia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.34,,8.09
2024-06-30,3.75,$0.54,6.98
2024-03-31,3.47,$0.38,9.07
2023-12-31,3.32,$0.17,20.08
2023-09-30,3.6,$-0.10,0.0
2023-06-30,3.97,$0.02,191.73
2023-03-31,4.65,$0.07,67.56
2022-12-31,4.37,$0.17,25.96
2022-09-30,4.01,$0.17,22.97
2022-06-30,4.31,$0.25,17.4
2022-03-31,5.08,$0.27,18.62
2021-12-31,5.79,$0.45,12.83
2021-09-30,5.07,$0.52,9.72
2021-06-30,4.95,$0.47,10.51
2021-03-31,3.68,$0.52,7.1
2020-12-31,3.64,$0.26,13.82
2020-09-30,3.64,$0.39,9.27
2020-06-30,4.09,$0.39,10.63
2020-03-31,2.88,$0.13,21.95
2019-12-31,3.45,$-0.05,0.0
2019-09-30,4.71,$-0.07,0.0
2019-06-30,4.62,$-0.17,0.0
2019-03-31,5.21,$-0.16,0.0
2018-12-31,5.3,$-0.05,0.0
2018-09-30,5.09,$0.07,74.14
2018-06-30,5.24,$-0.20,0.0
2018-03-31,4.8,$0.29,16.42
2017-12-31,4.09,$0.26,16.01
2017-09-30,5.25,$-0.04,0.0
2017-06-30,5.41,$0.28,19.41
2017-03-31,4.62,$-0.16,0.0
2016-12-31,4.1,$-0.37,0.0
2016-09-30,4.93,$-0.34,0.0
2016-06-30,4.85,$-0.24,0.0
2016-03-31,4.78,$-0.19,0.0
2015-12-31,5.68,$0.05,104.66
2015-09-30,5.49,$-0.01,0.0
2015-06-30,5.55,$-0.02,0.0
2015-03-31,5.99,$0.33,18.25
2014-12-31,6.21,$0.32,19.15
2014-09-30,6.69,$0.28,23.83
2014-06-30,5.97,$0.15,39.15
2014-03-31,5.45,$-0.20,0.0
2013-12-31,6.02,$-0.07,0.0
2013-09-30,4.83,$0.04,128.49
2013-06-30,2.78,$-0.09,0.0
2013-03-31,2.43,$0.10,23.64
2012-12-31,2.93,$-0.18,0.0
2012-09-30,1.91,$-0.09,0.0
2012-06-30,1.54,$0.31,4.92
2012-03-31,3.76,$0.09,41.05
2011-12-31,3.3,$0.22,14.96
2011-09-30,3.88,$0.85,4.55
2011-06-30,4.4,$0.68,6.43
2011-03-31,5.48,$1.05,5.2
2010-12-31,6.65,$1.47,4.52
2010-09-30,6.46,$1.19,5.44
2010-06-30,5.25,$1.34,3.93
2010-03-31,9.51,$1.32,7.23
2009-12-31,7.87,$1.05,7.51
