Docusign Price to Free Cash Flow Ratio Historical Data,Docusign Price to Free Cash Flow Ratio Historical Data,Docusign Price to Free Cash Flow Ratio Historical Data,Docusign Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,72.5,,16.49
2024-07-31,55.48,$4.40,12.62
2024-04-30,56.6,$4.32,13.1
2024-01-31,60.92,$4.25,14.35
2023-10-31,38.88,$3.64,10.69
2023-07-31,53.82,$2.65,20.29
2023-04-30,49.44,$2.29,21.56
2023-01-31,60.64,$2.14,28.39
2022-10-31,48.3,$1.94,24.95
2022-07-31,63.98,$2.21,29.0
2022-04-30,81.0,$2.50,32.34
2022-01-31,125.77,$2.26,55.58
2021-10-31,278.29,$2.14,130.26
2021-07-31,298.04,$1.89,157.63
2021-04-30,222.94,$1.61,138.57
2021-01-31,232.89,$1.16,201.64
2020-10-31,202.25,$1.00,201.38
2020-07-31,216.83,$0.72,299.94
2020-04-30,104.75,$0.25,420.18
2020-01-31,78.51,$0.25,317.85
2019-10-31,66.19,$0.36,184.17
2019-07-31,51.72,$0.42,124.54
2019-04-30,56.67,$0.27,208.19
2019-01-31,49.45,$0.34,146.35
