Ubiquiti Price to Free Cash Flow Ratio Historical Data,Ubiquiti Price to Free Cash Flow Ratio Historical Data,Ubiquiti Price to Free Cash Flow Ratio Historical Data,Ubiquiti Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,249.8,,28.52
2024-06-30,145.21,$8.76,16.58
2024-03-31,115.02,$5.11,22.5
2023-12-31,137.91,$-0.26,0.0
2023-09-30,142.79,$-2.23,0.0
2023-06-30,172.13,$-2.75,0.0
2023-03-31,265.18,$-1.83,0.0
2022-12-31,266.41,$2.56,104.25
2022-09-30,285.34,$4.77,59.87
2022-06-30,240.78,$5.78,41.65
2022-03-31,281.74,$7.26,38.83
2021-12-31,296.03,$7.73,38.28
2021-09-30,287.72,$9.19,31.31
2021-06-30,300.2,$9.42,31.88
2021-03-31,286.44,$8.69,32.97
2020-12-31,267.13,$7.85,34.02
2020-09-30,159.6,$6.87,23.23
2020-06-30,166.8,$6.56,25.43
2020-03-31,135.05,$5.51,24.52
2019-12-31,179.89,$4.38,41.05
2019-09-30,112.4,$3.16,35.54
2019-06-30,124.64,$2.90,42.99
2019-03-31,141.62,$2.69,52.67
2018-12-31,93.87,$4.02,23.38
2018-09-30,93.14,$4.19,22.24
2018-06-30,79.6,$4.12,19.31
2018-03-31,64.64,$4.10,15.77
2017-12-31,66.72,$2.44,27.3
2017-09-30,52.63,$2.03,25.92
2017-06-30,48.83,$1.26,38.79
2017-03-31,47.22,$1.21,38.87
2016-12-31,54.3,$1.68,32.32
2016-09-30,50.26,$2.09,24.06
2016-06-30,36.32,$2.23,16.29
2016-03-31,31.26,$1.92,16.31
2015-12-31,29.77,$1.98,15.01
2015-09-30,31.84,$1.40,22.82
2015-06-30,29.98,$1.36,22.05
2015-03-31,27.76,$1.91,14.51
2014-12-31,27.85,$2.10,13.25
2014-09-30,35.08,$2.28,15.39
2014-06-30,42.24,$2.19,19.32
2013-09-30,31.4,$1.75,17.97
2013-06-30,16.39,$1.40,11.7
2013-03-31,12.82,$0.99,12.97
2012-12-31,11.35,$0.93,12.19
2012-09-30,10.96,$0.96,11.41
2012-06-30,13.13,$0.25,53.26
2013-12-31,42.96,$0.86,49.67
