Brinker Price to Free Cash Flow Ratio Historical Data,Brinker Price to Free Cash Flow Ratio Historical Data,Brinker Price to Free Cash Flow Ratio Historical Data,Brinker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,89.3,,17.92
2024-06-30,72.39,$4.98,14.53
2024-03-31,49.68,$3.39,14.65
2023-12-31,43.18,$3.69,11.71
2023-09-30,31.59,$2.48,12.73
2023-06-30,36.6,$1.71,21.42
2023-03-31,38.0,$1.38,27.47
2022-12-31,31.91,$0.90,35.38
2022-09-30,24.98,$1.67,14.94
2022-06-30,22.03,$2.24,9.85
2022-03-31,38.16,$3.78,10.1
2021-12-31,36.59,$4.63,7.9
2021-09-30,49.05,$4.50,10.9
2021-06-30,61.85,$5.95,10.39
2021-03-31,71.06,$3.94,18.02
2020-12-31,56.57,$3.29,17.18
2020-09-30,42.72,$3.42,12.5
2020-06-30,24.0,$3.64,6.59
2020-03-31,12.01,$4.71,2.55
2019-12-31,41.5,$4.14,10.03
2019-09-30,41.79,$2.49,16.8
2019-06-30,38.17,$1.19,31.96
2019-03-31,42.63,$1.04,41.06
2018-12-31,41.88,$2.32,18.09
2018-09-30,44.17,$4.26,10.36
2018-06-30,44.62,$4.39,10.17
2018-03-31,33.57,$4.78,7.03
2017-12-31,35.74,$4.04,8.86
2017-09-30,29.02,$4.05,7.16
2017-06-30,34.27,$4.21,8.13
2017-03-31,39.21,$4.42,8.88
2016-12-31,43.82,$4.89,8.97
2016-09-30,44.33,$5.29,8.37
2016-06-30,39.77,$4.97,8.0
2016-03-31,39.86,$4.89,8.14
2015-12-31,41.32,$4.05,10.2
2015-09-30,45.07,$3.50,12.87
2015-06-30,49.03,$3.58,13.71
2015-03-31,52.1,$3.18,16.39
2014-12-31,49.43,$3.09,15.98
2014-09-30,42.57,$3.04,14.0
2014-06-30,40.54,$2.93,13.84
2014-03-31,43.5,$3.00,14.51
2013-12-31,38.26,$2.63,14.57
2013-09-30,33.29,$2.79,11.92
2013-06-30,32.19,$2.38,13.54
2013-03-31,30.59,$2.17,14.09
2012-12-31,25.04,$2.41,10.4
2012-09-30,28.33,$2.20,12.9
2012-06-30,25.43,$2.31,11.01
2012-03-31,21.87,$2.42,9.05
2011-12-31,21.12,$2.46,8.6
2011-09-30,16.41,$2.40,6.82
2011-06-30,19.04,$2.15,8.86
2011-03-31,19.57,$2.17,9.03
2010-12-31,16.07,$1.72,9.34
2010-09-30,14.42,$1.94,7.44
2010-06-30,10.97,$2.55,4.3
2010-03-31,14.5,$2.60,5.57
2009-12-31,11.16,$3.54,3.15
