Spirit Aerosystems Holdings Price to Free Cash Flow Ratio Historical Data,Spirit Aerosystems Holdings Price to Free Cash Flow Ratio Historical Data,Spirit Aerosystems Holdings Price to Free Cash Flow Ratio Historical Data,Spirit Aerosystems Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.21,,0.0
2024-06-30,32.87,$-9.77,0.0
2024-03-31,36.07,$-6.67,0.0
2023-12-31,31.78,$-3.51,0.0
2023-09-30,16.14,$-4.59,0.0
2023-06-30,29.19,$-4.00,0.0
2023-03-31,34.53,$-2.74,0.0
2022-12-31,29.6,$-4.94,0.0
2022-09-30,21.92,$-5.62,0.0
2022-06-30,29.29,$-3.25,0.0
2022-03-31,48.86,$-3.01,0.0
2021-12-31,43.05,$-2.05,0.0
2021-09-30,44.14,$-2.47,0.0
2021-06-30,47.12,$-4.84,0.0
2021-03-31,48.57,$-6.72,0.0
2020-12-31,39.02,$-8.31,0.0
2020-09-30,18.87,$-5.71,0.0
2020-06-30,23.88,$-3.05,0.0
2020-03-31,23.86,$1.19,20.07
2019-12-31,72.63,$6.60,11.01
2019-09-30,81.83,$6.57,12.46
2019-06-30,80.85,$5.75,14.07
2019-03-31,90.81,$5.45,16.67
2018-12-31,71.43,$4.57,15.63
2018-09-30,90.68,$2.14,42.43
2018-06-30,84.87,$3.07,27.69
2018-03-31,82.57,$3.00,27.51
2017-12-31,85.97,$2.55,33.68
2017-09-30,76.49,$4.47,17.13
2017-06-30,56.95,$4.15,13.72
2017-03-31,56.83,$3.91,14.53
2016-12-31,57.16,$3.65,15.66
2016-09-30,43.56,$4.64,9.38
2016-06-30,42.05,$3.89,10.82
2016-03-31,44.36,$4.28,10.35
2015-12-31,48.96,$6.69,7.32
2015-09-30,47.27,$4.99,9.47
2015-06-30,53.89,$4.54,11.88
2015-03-31,51.06,$3.79,13.48
2014-12-31,42.09,$1.00,42.0
2014-09-30,37.22,$1.26,29.64
2014-06-30,32.96,$1.51,21.87
2014-03-31,27.57,$0.74,37.15
2013-12-31,33.33,$-0.08,0.0
2013-09-30,23.7,$1.66,14.25
2013-06-30,21.01,$1.13,18.65
2013-03-31,18.57,$1.49,12.43
2012-12-31,16.6,$2.08,7.97
2012-09-30,21.72,$0.78,27.92
2012-06-30,23.3,$0.42,55.63
2012-03-31,23.92,$-1.18,0.0
2011-12-31,20.32,$-2.08,0.0
2011-09-30,15.6,$-0.56,0.0
2011-06-30,21.51,$-1.68,0.0
2011-03-31,25.1,$-1.07,0.0
2010-12-31,20.35,$-1.15,0.0
2010-09-30,19.49,$-2.08,0.0
2010-06-30,18.64,$-1.16,0.0
2010-03-31,22.86,$-1.55,0.0
2009-12-31,19.42,$-1.73,0.0
