Eldorado Gold Price to Free Cash Flow Ratio Historical Data,Eldorado Gold Price to Free Cash Flow Ratio Historical Data,Eldorado Gold Price to Free Cash Flow Ratio Historical Data,Eldorado Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.01,,0.0
2024-06-30,14.79,$-0.09,0.0
2024-03-31,14.07,$-0.04,0.0
2023-12-31,12.97,$-0.09,0.0
2023-09-30,8.91,$-0.15,0.0
2023-06-30,10.1,$-0.24,0.0
2023-03-31,10.36,$-0.49,0.0
2022-12-31,8.36,$-0.41,0.0
2022-09-30,6.03,$-0.34,0.0
2022-06-30,6.39,$-0.01,0.0
2022-03-31,11.21,$0.20,54.92
2021-12-31,9.35,$0.46,20.38
2021-09-30,7.73,$0.67,11.47
2021-06-30,9.95,$1.25,7.95
2021-03-31,10.79,$1.70,6.34
2020-12-31,13.27,$1.61,8.24
2020-09-30,10.55,$1.26,8.38
2020-06-30,9.7,$0.56,17.44
2020-03-31,6.17,$0.24,25.33
2019-12-31,8.03,$-0.25,0.0
2019-09-30,7.77,$-0.68,0.0
2019-06-30,5.82,$-1.08,0.0
2019-03-31,4.63,$-1.40,0.0
2018-12-31,2.88,$-1.40,0.0
2018-09-30,4.42,$-1.54,0.0
2018-03-31,4.2,$-1.96,0.0
2017-12-31,7.15,$-1.87,0.0
2017-09-30,11.0,$1.96,5.6
2017-06-30,13.2,$4.19,3.15
2017-03-31,17.05,$4.46,3.83
2016-12-31,16.02,$4.28,3.74
2016-09-30,19.55,$-0.05,0.0
2016-06-30,22.39,$-1.89,0.0
2016-03-31,15.72,$-1.55,0.0
2015-12-31,14.78,$-1.19,0.0
2015-09-30,16.02,$-0.89,0.0
2015-06-30,20.55,$-0.55,0.0
2015-03-31,22.79,$-0.53,0.0
2014-12-31,30.14,$-0.84,0.0
2018-06-30,4.97,$-0.30,0.0
2014-09-30,33.42,$-1.14,0.0
2014-06-30,37.84,$-1.05,0.0
2014-03-31,27.63,$-1.40,0.0
2013-12-31,28.14,$-0.86,0.0
2013-09-30,33.19,$-0.19,0.0
2013-06-30,30.39,$-0.24,0.0
2013-03-31,46.86,$-0.70,0.0
2012-12-31,62.95,$-0.91,0.0
2012-09-30,74.48,$-0.23,0.0
2012-06-30,59.89,$0.69,86.54
2012-03-31,66.79,$2.13,31.34
2011-12-31,66.25,$2.16,30.73
2011-09-30,82.82,$1.44,57.57
2011-06-30,71.0,$0.60,117.65
2011-03-31,78.33,$0.72,109.49
2010-12-31,89.19,$0.60,149.29
2010-09-30,88.8,$1.32,67.35
2010-06-30,86.26,$1.29,66.62
2010-03-31,57.85,$1.10,52.82
2009-12-31,67.86,$1.03,66.11
