Exponent Price to Free Cash Flow Ratio Historical Data,Exponent Price to Free Cash Flow Ratio Historical Data,Exponent Price to Free Cash Flow Ratio Historical Data,Exponent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,113.37,,40.49
2024-06-30,94.86,$2.80,33.88
2024-03-31,82.22,$2.56,32.08
2023-12-31,87.24,$2.15,40.58
2023-09-30,84.55,$1.52,55.58
2023-06-30,91.91,$1.66,55.3
2023-03-31,97.92,$1.49,65.56
2022-12-31,97.08,$1.56,62.07
2022-09-30,85.7,$1.84,46.62
2022-06-30,89.18,$1.78,50.21
2022-03-31,105.06,$2.06,50.95
2021-12-31,113.22,$2.21,51.28
2021-09-30,109.56,$1.97,55.72
2021-06-30,86.23,$2.02,42.69
2021-03-31,93.98,$2.10,44.69
2020-12-31,86.65,$1.84,46.99
2020-09-30,69.17,$2.02,34.23
2020-06-30,77.52,$1.95,39.83
2020-03-31,68.71,$1.63,42.17
2019-12-31,65.75,$1.58,41.67
2019-09-30,66.43,$1.40,47.53
2019-06-30,55.51,$1.26,44.01
2019-03-31,54.58,$1.11,49.3
2018-12-31,47.82,$1.38,34.58
2018-09-30,50.41,$1.37,36.8
2018-06-30,45.31,$1.25,36.32
2018-03-31,36.85,$1.17,31.52
2017-12-31,33.19,$1.17,28.39
2017-09-30,34.41,$0.96,35.82
2017-06-30,27.06,$1.03,26.15
2017-03-31,27.54,$0.93,29.57
2016-12-31,27.79,$0.97,28.73
2016-09-30,23.46,$0.90,25.93
2016-06-30,26.74,$0.97,27.44
2016-03-31,23.28,$0.97,24.04
2015-12-31,22.71,$1.01,22.5
2015-09-30,20.2,$0.93,21.7
2015-06-30,20.23,$0.86,23.41
2015-03-31,20.01,$0.93,21.55
2014-12-31,18.5,$0.78,23.64
2014-09-30,15.85,$0.87,18.23
2014-06-30,16.51,$0.92,17.92
2014-03-31,16.67,$0.99,16.82
2013-12-31,17.1,$0.99,17.27
2013-09-30,15.87,$0.96,16.47
2013-06-30,13.03,$0.68,19.06
2013-03-31,11.86,$0.68,17.38
2012-12-31,12.24,$0.76,16.06
2012-09-30,12.51,$0.65,19.13
2012-06-30,11.58,$0.84,13.85
2012-03-31,10.63,$0.79,13.47
2011-12-31,10.07,$0.72,13.9
2011-09-30,9.06,$0.60,15.16
2011-06-30,9.54,$0.66,14.35
2011-03-31,9.78,$0.43,22.54
2010-12-31,8.23,$0.56,14.77
2010-09-30,7.36,$0.68,10.83
2010-06-30,7.17,$0.53,13.46
2010-03-31,6.25,$0.54,11.61
2009-12-31,6.1,$0.41,14.79
