BioNTech SE Price to Free Cash Flow Ratio Historical Data,BioNTech SE Price to Free Cash Flow Ratio Historical Data,BioNTech SE Price to Free Cash Flow Ratio Historical Data,BioNTech SE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,114.47,,9.72
2024-06-30,80.36,$11.77,6.83
2024-03-31,92.25,$24.31,3.8
2023-12-31,105.54,$22.84,4.62
2023-09-30,108.64,$26.20,4.15
2023-06-30,107.93,$39.91,2.7
2023-03-31,124.57,$35.41,3.52
2022-12-31,150.22,$55.88,2.69
2022-09-30,134.88,$48.39,2.79
2022-06-30,149.1,$37.87,3.94
2022-03-31,168.32,$21.16,7.96
2021-12-31,254.41,$4.97,51.15
2021-09-30,269.4,$4.98,54.09
2021-06-30,220.93,$-1.83,0.0
2020-12-31,80.45,$-0.36,0.0
2020-09-30,68.32,$-3.04,0.0
