STMicroelectronics Price to Free Cash Flow Ratio Historical Data,STMicroelectronics Price to Free Cash Flow Ratio Historical Data,STMicroelectronics Price to Free Cash Flow Ratio Historical Data,STMicroelectronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.44,,30.38
2024-06-30,39.16,$0.90,43.36
2024-03-31,43.01,$1.11,38.64
2023-12-31,49.79,$1.65,30.12
2023-09-30,42.82,$1.87,22.86
2023-06-30,49.52,$1.84,26.88
2023-03-31,52.92,$1.88,28.16
2022-12-31,35.15,$1.75,20.07
2022-09-30,30.53,$1.44,21.16
2022-06-30,31.0,$1.22,25.34
2022-03-31,42.5,$1.15,37.1
2021-12-31,48.0,$1.33,36.03
2021-09-30,42.79,$1.57,27.24
2021-06-30,35.63,$1.13,31.44
2021-03-31,37.48,$1.04,36.13
2020-12-31,36.26,$0.89,40.97
2020-09-30,29.94,$-0.14,0.0
2020-06-30,26.7,$1.03,25.93
2020-03-31,20.79,$0.89,23.27
2019-12-31,26.08,$0.77,33.91
2019-09-30,18.7,$3.01,6.21
2019-06-30,16.99,$1.91,8.88
2019-03-31,14.26,$1.93,7.38
2018-12-31,13.28,$2.03,6.55
2018-09-30,17.47,$0.65,27.08
2018-06-30,21.0,$0.36,58.93
2018-03-31,21.12,$0.46,45.89
2017-12-31,20.64,$0.42,49.34
2017-09-30,18.3,$0.49,37.2
2017-06-30,13.51,$0.53,25.67
2017-03-31,14.47,$0.52,27.97
2016-12-31,10.58,$0.49,21.51
2016-09-30,7.56,$0.43,17.74
2016-06-30,5.42,$0.40,13.65
2016-03-31,5.08,$0.40,12.57
2015-12-31,5.96,$0.43,13.99
2015-09-30,6.01,$0.23,26.34
2015-06-30,7.05,$0.53,13.35
2015-03-31,7.95,$0.38,20.88
2014-12-31,6.35,$0.25,25.78
2014-09-30,6.44,$0.17,37.53
2014-06-30,7.35,$-0.16,0.0
2014-03-31,7.56,$-0.20,0.0
2013-12-31,6.47,$-0.19,0.0
2013-09-30,7.35,$0.41,17.85
2013-06-30,7.11,$0.52,13.73
2013-03-31,6.04,$0.52,11.69
2012-12-31,5.61,$0.71,7.92
2012-09-30,4.12,$1.44,2.85
2012-06-30,4.09,$1.39,2.95
2012-03-31,5.95,$0.76,7.86
2011-12-31,4.2,$1.00,4.2
2011-09-30,4.54,$0.04,116.08
2011-06-30,6.85,$0.78,8.8
2011-03-31,8.48,$1.94,4.37
2010-12-31,7.09,$2.00,3.54
2010-09-30,5.15,$1.99,2.59
2010-06-30,5.29,$1.63,3.26
2010-03-31,6.55,$1.39,4.7
2009-12-31,6.14,$0.93,6.59
