MasTec Price to Free Cash Flow Ratio Historical Data,MasTec Price to Free Cash Flow Ratio Historical Data,MasTec Price to Free Cash Flow Ratio Historical Data,MasTec Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,127.25,,20.94
2024-06-30,106.99,$6.08,17.6
2023-12-31,75.72,$7.46,10.15
2023-09-30,71.97,$2.25,31.93
2023-06-30,117.97,$0.01,10258.26
2023-03-31,94.44,$2.18,43.37
2022-12-31,85.33,$0.90,95.17
2024-03-31,93.25,$0.56,165.51
2022-09-30,63.5,$3.37,18.82
2022-06-30,71.66,$3.46,20.69
2022-03-31,87.1,$7.10,12.26
2021-12-31,92.28,$9.31,9.91
2021-09-30,86.28,$8.38,10.3
2021-06-30,106.1,$9.06,11.71
2021-03-31,93.7,$11.23,8.34
2020-12-31,68.18,$10.32,6.61
2020-09-30,42.2,$8.24,5.12
2020-06-30,44.87,$6.75,6.65
2020-03-31,32.73,$9.01,3.63
2019-12-31,64.16,$6.05,10.61
2019-09-30,64.93,$10.91,5.95
2019-06-30,51.53,$9.65,5.34
2019-03-31,48.1,$3.11,15.47
2018-12-31,40.56,$4.88,8.32
2018-09-30,44.65,$-1.66,0.0
2018-06-30,50.75,$1.68,30.27
2018-03-31,47.05,$0.08,624.01
2017-12-31,48.95,$-0.06,0.0
2017-09-30,46.4,$1.48,31.26
2017-06-30,45.15,$-1.88,0.0
2016-12-31,38.25,$1.23,31.22
2016-09-30,29.74,$2.71,10.98
2016-06-30,22.32,$3.38,6.61
2016-03-31,20.24,$4.76,4.25
2015-12-31,17.38,$4.95,3.51
2017-03-31,40.05,$4.01,9.98
2015-09-30,15.83,$5.13,3.09
2015-06-30,19.87,$4.18,4.75
2015-03-31,19.3,$4.50,4.29
2014-12-31,22.61,$2.67,8.46
2014-09-30,30.62,$0.66,46.17
2014-06-30,30.82,$1.43,21.56
2014-03-31,43.44,$-0.77,0.0
2013-12-31,32.72,$0.18,184.23
2013-09-30,30.3,$0.77,39.17
2013-06-30,32.9,$-0.76,0.0
2012-12-31,24.93,$1.22,20.42
2012-09-30,19.7,$0.32,61.16
2012-06-30,15.04,$-0.87,0.0
2012-03-31,18.09,$-1.21,0.0
2011-12-31,17.37,$-2.29,0.0
2013-03-31,29.15,$-1.30,0.0
2011-09-30,17.61,$-0.14,0.0
2011-06-30,19.72,$1.61,12.28
2011-03-31,20.8,$2.15,9.67
2010-12-31,14.59,$2.06,7.07
2010-09-30,10.32,$1.29,8.02
2010-06-30,9.4,$0.88,10.65
2010-03-31,12.61,$1.04,12.13
2009-12-31,12.5,$1.25,9.99
