Dynatrace Price to Free Cash Flow Ratio Historical Data,Dynatrace Price to Free Cash Flow Ratio Historical Data,Dynatrace Price to Free Cash Flow Ratio Historical Data,Dynatrace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.0,,36.1
2024-06-30,44.74,$1.50,29.91
2024-03-31,46.44,$1.16,40.12
2023-12-31,54.69,$1.14,47.81
2023-09-30,46.73,$1.12,41.8
2023-06-30,51.47,$1.09,47.19
2023-03-31,42.3,$1.14,37.0
2022-12-31,38.3,$1.04,36.96
2022-09-30,34.81,$1.03,33.69
2022-06-30,39.44,$0.99,39.73
2022-03-31,47.1,$0.80,58.75
2021-12-31,60.35,$0.80,75.46
2021-09-30,70.97,$0.85,83.03
2021-06-30,58.42,$0.89,65.99
2021-03-31,48.24,$0.72,66.92
2020-12-31,43.27,$0.62,69.97
2020-09-30,41.02,$0.44,93.35
2020-06-30,40.6,$-0.50,0.0
