Pilgrim's Pride Price to Free Cash Flow Ratio Historical Data,Pilgrim's Pride Price to Free Cash Flow Ratio Historical Data,Pilgrim's Pride Price to Free Cash Flow Ratio Historical Data,Pilgrim's Pride Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.44,,9.66
2024-06-30,38.49,$4.70,8.19
2024-03-31,34.32,$2.53,13.59
2023-12-31,27.66,$0.65,42.67
2023-09-30,22.83,$-1.09,0.0
2023-06-30,21.49,$-0.80,0.0
2023-03-31,23.18,$-0.87,0.0
2022-12-31,23.73,$0.91,26.13
2022-09-30,23.02,$1.52,15.1
2022-06-30,31.23,$1.01,30.82
2022-03-31,25.1,$1.43,17.58
2021-12-31,28.2,$-0.12,0.0
2021-09-30,29.08,$0.74,39.31
2021-06-30,22.18,$1.43,15.55
2021-03-31,23.79,$-0.66,0.0
2020-12-31,19.61,$0.46,42.45
2020-09-30,14.97,$0.26,56.49
2020-06-30,16.89,$-0.12,0.0
2019-12-31,32.72,$1.34,24.45
2019-09-30,32.05,$2.00,15.99
2019-06-30,25.39,$1.52,16.66
2019-03-31,22.29,$0.93,23.97
2018-12-31,15.51,$1.70,9.12
2020-03-31,18.12,$0.56,32.08
2018-09-30,18.09,$1.20,15.05
2018-06-30,20.13,$1.92,10.47
2018-03-31,24.61,$1.79,13.74
2017-12-31,31.06,$1.87,16.6
2017-09-30,28.41,$1.95,14.58
2017-06-30,21.92,$1.59,13.75
2017-03-31,22.51,$1.04,21.74
2016-12-31,18.99,$1.84,10.32
2016-09-30,21.12,$1.76,11.98
2016-06-30,25.48,$2.13,11.97
2016-03-31,22.86,$2.83,8.07
2015-12-31,19.88,$3.27,6.09
2015-09-30,18.7,$3.73,5.02
2015-06-30,20.67,$4.16,4.97
2015-03-31,20.33,$3.93,5.17
2014-12-31,24.48,$3.49,7.01
2014-09-30,22.81,$3.66,6.23
2014-06-30,20.42,$3.31,6.17
2014-03-31,15.62,$3.08,5.07
2013-12-31,12.13,$2.59,4.69
2013-09-30,12.53,$1.81,6.94
2013-06-30,11.15,$0.95,11.72
2012-12-31,5.4,$0.55,9.75
2012-09-30,3.81,$-0.56,0.0
2012-06-30,5.34,$-0.84,0.0
2012-03-31,5.57,$-1.00,0.0
2011-12-31,4.3,$-1.41,0.0
2013-03-31,6.86,$-1.10,0.0
2011-09-30,3.19,$-1.40,0.0
2011-06-30,4.04,$-1.35,0.0
2011-03-31,5.76,$-1.22,0.0
2010-12-31,5.29,$-0.67,0.0
2010-09-30,4.2,$-3.49,0.0
2010-06-30,4.9,$-2.06,0.0
2010-03-31,7.94,$0.27,29.29
2009-12-31,6.64,$-0.41,0.0
