Sun Communities Price to Free Cash Flow Ratio Historical Data,Sun Communities Price to Free Cash Flow Ratio Historical Data,Sun Communities Price to Free Cash Flow Ratio Historical Data,Sun Communities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,137.58,,103.94
2024-06-30,119.51,$1.32,90.29
2024-03-31,126.7,$0.23,543.55
2023-12-31,130.73,$-1.56,0.0
2023-09-30,114.96,$-20.11,0.0
2023-06-30,125.75,$-20.73,0.0
2023-03-31,134.81,$-7.86,0.0
2022-12-31,135.93,$-21.93,0.0
2022-09-30,127.87,$4.67,27.38
2022-06-30,149.59,$2.25,66.6
2021-12-31,195.05,$-11.22,0.0
2021-09-30,171.27,$-16.22,0.0
2021-06-30,157.9,$-22.60,0.0
2021-03-31,137.56,$-20.98,0.0
2020-12-31,138.55,$-20.41,0.0
2022-03-31,163.64,$-0.89,0.0
2020-09-30,127.53,$-3.00,0.0
2020-06-30,122.37,$-2.66,0.0
2020-03-31,111.95,$-2.70,0.0
2019-12-31,133.72,$-5.67,0.0
2019-09-30,131.59,$-4.75,0.0
2019-06-30,113.06,$-0.36,0.0
2019-03-31,103.91,$-3.08,0.0
2018-12-31,88.62,$0.36,245.88
2018-09-30,87.85,$-0.38,0.0
2018-06-30,84.08,$-4.22,0.0
2018-03-31,77.93,$-1.63,0.0
2017-12-31,78.52,$-1.86,0.0
2017-09-30,71.99,$-1.71,0.0
2017-06-30,73.1,$-0.26,0.0
2017-03-31,66.46,$-20.91,0.0
2016-12-31,62.85,$-20.75,0.0
2016-09-30,63.83,$-19.05,0.0
2016-06-30,61.83,$-20.88,0.0
2016-03-31,57.28,$5.52,10.37
2015-12-31,54.31,$-2.04,0.0
2015-09-30,53.21,$-1.79,0.0
2015-06-30,48.08,$-1.57,0.0
2014-12-31,46.09,$-9.76,0.0
2014-09-30,38.1,$-5.34,0.0
2014-06-30,37.13,$-8.53,0.0
2014-03-31,33.16,$-8.45,0.0
2013-12-31,30.9,$-8.69,0.0
2015-03-31,51.36,$-6.00,0.0
2013-09-30,30.42,$-12.95,0.0
2013-06-30,35.02,$-13.04,0.0
2013-03-31,34.26,$-10.58,0.0
2012-12-31,27.35,$-10.55,0.0
2012-09-30,28.93,$-1.43,0.0
2012-06-30,28.61,$-1.19,0.0
2012-03-31,27.6,$-1.32,0.0
2011-12-31,23.27,$-0.97,0.0
2011-09-30,21.65,$-0.53,0.0
2011-06-30,22.59,$-0.37,0.0
2011-03-31,21.21,$0.26,82.08
2010-12-31,19.45,$0.59,32.76
2010-09-30,17.57,$0.44,39.82
2010-06-30,14.52,$0.55,26.21
2010-03-31,13.77,$0.79,17.54
2009-12-31,10.46,$0.80,13.06
