Grupo Financiero Galicia S.A Price to Free Cash Flow Ratio Historical Data,Grupo Financiero Galicia S.A Price to Free Cash Flow Ratio Historical Data,Grupo Financiero Galicia S.A Price to Free Cash Flow Ratio Historical Data,Grupo Financiero Galicia S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.82,,1.66
2024-06-30,29.25,$29.36,1.0
2024-03-31,23.61,$29.36,0.8
2023-03-31,9.47,$32.28,0.29
2022-12-31,8.34,$51.11,0.16
2022-03-31,8.85,$26.03,0.34
2019-03-31,20.28,$31.25,0.65
2018-12-31,21.91,$20.56,1.07
2018-09-30,20.21,$4.00,5.05
2018-06-30,26.21,$-13.10,0.0
2018-03-31,51.86,$-14.60,0.0
2017-09-30,40.65,$-6.94,0.0
2017-06-30,33.63,$-0.80,0.0
2016-06-30,24.02,$15.59,1.54
2016-03-31,22.19,$16.46,1.35
2015-12-31,21.23,$12.46,1.7
2015-09-30,13.97,$8.57,1.63
2015-06-30,14.73,$3.61,4.08
2015-03-31,18.1,$-1.96,0.0
2014-12-31,12.42,$5.37,2.31
2014-09-30,11.11,$4.75,2.34
2014-06-30,11.45,$3.99,2.87
2013-12-31,8.15,$4.71,1.73
2013-09-30,7.41,$4.05,1.83
2013-06-30,4.0,$-0.19,0.0
2013-03-31,4.26,$1.43,2.97
2012-12-31,5.13,$2.55,2.01
2012-09-30,4.48,$0.46,9.72
2012-06-30,3.6,$0.60,6.03
2012-03-31,4.95,$1.73,2.87
2011-12-31,4.56,$0.57,7.97
2011-09-30,6.37,$1.16,5.51
2011-06-30,10.42,$-2.05,0.0
2011-03-31,9.53,$-1.11,0.0
2010-12-31,11.74,$1.05,11.23
2010-09-30,7.65,$-4.19,0.0
2010-06-30,4.37,$6.05,0.72
2010-03-31,4.56,$4.48,1.02
2009-12-31,4.42,$13.37,0.33
2009-09-30,3.61,$14.75,0.24
2014-03-31,9.6,$7.94,1.21
2009-06-30,2.52,$7.94,0.32
