Moog Price to Free Cash Flow Ratio Historical Data,Moog Price to Free Cash Flow Ratio Historical Data,Moog Price to Free Cash Flow Ratio Historical Data,Moog Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,196.03,,151.06
2024-06-30,167.3,$1.30,128.92
2024-03-31,159.65,$-1.43,0.0
2023-09-30,112.96,$-0.55,0.0
2023-06-30,108.43,$-0.77,0.0
2023-03-31,100.75,$0.51,196.16
2022-12-31,87.76,$2.41,36.36
2022-09-30,70.35,$2.44,28.79
2023-12-31,144.78,$3.13,46.24
2022-06-30,79.39,$3.58,22.2
2022-03-31,87.8,$6.40,13.73
2021-12-31,80.97,$6.99,11.58
2021-09-30,76.23,$5.55,13.74
2021-06-30,84.06,$6.50,12.94
2021-03-31,82.91,$7.35,11.27
2020-12-31,78.83,$7.57,10.41
2020-09-30,62.95,$5.71,11.03
2020-06-30,52.28,$4.31,12.12
2020-03-31,49.87,$1.21,41.12
2019-12-31,83.99,$1.08,77.67
2019-09-30,79.62,$1.79,44.46
2019-06-30,91.57,$1.97,46.42
2019-03-31,84.82,$1.57,54.03
2018-12-31,75.38,$0.72,105.26
2018-09-30,83.38,$0.22,380.89
2018-06-30,75.36,$-0.18,0.0
2018-03-31,79.43,$1.43,55.54
2017-12-31,83.71,$0.49,171.78
2017-09-30,80.41,$0.66,121.74
2017-06-30,69.13,$2.04,33.87
2017-03-31,64.91,$2.87,22.62
2016-09-30,57.39,$4.07,14.1
2016-06-30,51.97,$8.73,5.96
2016-03-31,44.03,$7.84,5.62
2015-12-31,58.41,$7.62,7.67
2015-09-30,52.11,$8.88,5.87
2016-12-31,63.3,$4.83,13.1
2015-06-30,68.12,$5.08,13.42
2015-03-31,72.34,$5.22,13.86
2014-12-31,71.35,$5.01,14.25
2014-09-30,65.93,$4.63,14.23
2014-06-30,70.25,$4.73,14.85
2014-03-31,63.14,$4.22,14.96
2013-12-31,65.48,$4.36,15.02
2013-09-30,56.55,$3.45,16.39
2013-06-30,49.67,$3.06,16.21
2013-03-31,44.17,$2.86,15.45
2012-12-31,39.55,$2.32,17.08
2012-09-30,36.5,$2.35,15.55
2012-06-30,39.85,$2.32,17.19
2012-03-31,41.34,$2.02,20.42
2011-12-31,42.34,$1.74,24.36
2011-09-30,31.44,$2.44,12.87
2011-06-30,41.95,$2.39,17.53
2011-03-31,44.25,$2.50,17.7
2010-12-31,38.36,$2.73,14.06
2010-09-30,34.23,$2.83,12.1
2010-06-30,31.06,$2.35,13.21
2010-03-31,34.14,$1.95,17.53
2009-12-31,28.17,$1.82,15.49
