Fidelity National Financial Price to Free Cash Flow Ratio Historical Data,Fidelity National Financial Price to Free Cash Flow Ratio Historical Data,Fidelity National Financial Price to Free Cash Flow Ratio Historical Data,Fidelity National Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.66,,11.53
2024-06-30,49.03,$5.44,9.02
2023-12-31,49.64,$23.42,2.12
2023-09-30,39.79,$24.68,1.61
2023-06-30,34.32,$26.55,1.29
2023-03-31,32.87,$25.70,1.28
2022-12-31,34.93,$23.47,1.49
2024-03-31,52.16,$16.19,3.22
2022-09-30,33.2,$15.46,2.15
2022-06-30,33.53,$13.81,2.43
2022-03-31,43.78,$13.81,3.17
2021-12-31,46.37,$13.79,3.36
2021-09-30,39.94,$10.86,3.68
2021-06-30,37.96,$8.38,4.53
2021-03-31,35.24,$7.03,5.01
2020-12-31,33.59,$5.13,6.54
2020-09-30,26.66,$4.50,5.92
2020-06-30,25.85,$4.38,5.9
2020-03-31,20.76,$4.12,5.04
2019-12-31,37.4,$3.71,10.07
2019-09-30,36.37,$3.16,11.5
2019-06-30,32.77,$3.15,10.41
2019-03-31,29.49,$3.01,9.81
2018-12-31,25.14,$3.17,7.93
2018-09-30,31.18,$2.73,11.4
2018-06-30,29.59,$2.32,12.75
2018-03-31,31.23,$-0.72,0.0
2017-12-31,30.38,$0.24,128.74
2017-09-30,26.7,$0.72,37.23
2017-06-30,25.08,$0.47,53.25
2016-12-31,18.77,$2.51,7.48
2016-09-30,20.25,$3.54,5.73
2016-06-30,20.45,$2.49,8.22
2016-03-31,18.38,$2.66,6.92
2015-12-31,18.67,$3.32,5.62
2017-03-31,21.66,$1.30,16.69
2015-09-30,18.98,$3.09,6.15
2015-06-30,19.68,$3.20,6.15
2015-03-31,19.46,$3.07,6.34
2014-12-31,18.14,$2.06,8.81
2014-09-30,14.52,$0.85,17.18
2014-06-30,17.04,$0.52,32.56
2014-03-31,16.35,$0.75,21.7
2013-12-31,16.88,$1.45,11.67
2013-09-30,13.75,$1.91,7.21
2013-06-30,12.23,$2.25,5.43
2013-03-31,12.87,$2.36,5.46
2012-12-31,11.94,$2.40,4.97
2012-09-30,10.77,$1.65,6.53
2012-06-30,9.63,$1.24,7.75
2012-03-31,8.95,$0.46,19.42
2011-12-31,7.84,$0.36,21.87
2011-09-30,7.42,$0.65,11.46
2011-06-30,7.63,$0.36,21.08
2011-03-31,6.8,$-1.32,0.0
2010-12-31,6.53,$-0.71,0.0
2010-09-30,7.4,$-0.88,0.0
2010-06-30,6.04,$-0.37,0.0
2009-12-31,6.12,$1.65,3.71
2009-09-30,6.78,$1.02,6.66
