Royal Gold Price to Free Cash Flow Ratio Historical Data,Royal Gold Price to Free Cash Flow Ratio Historical Data,Royal Gold Price to Free Cash Flow Ratio Historical Data,Royal Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,148.45,,21.64
2024-06-30,124.42,$6.86,18.14
2024-03-31,120.7,$6.77,17.82
2023-12-31,119.45,$6.32,18.89
2023-09-30,104.63,$6.32,16.54
2023-06-30,112.57,$6.28,17.93
2023-03-31,126.86,$6.47,19.61
2022-12-31,109.9,$6.36,17.29
2022-09-30,91.15,$-0.41,0.0
2022-06-30,103.74,$0.12,840.04
2022-03-31,136.82,$0.14,1012.7
2021-12-31,101.27,0,0.0
2021-09-30,91.92,$6.75,13.62
2021-06-30,109.2,$6.20,17.6
2021-03-31,103.0,$0.56,182.53
2020-12-31,101.23,$2.96,34.23
2020-09-30,114.11,$2.63,43.43
2020-06-30,117.79,$2.28,51.69
2020-03-31,82.85,$3.32,24.99
2019-12-31,115.21,$2.28,50.56
2019-09-30,115.87,$1.98,58.39
2019-06-30,96.14,$-2.28,0.0
2019-03-31,85.05,$4.34,19.59
2018-12-31,79.87,$2.74,29.15
2018-09-30,71.62,$2.94,24.39
2018-03-31,79.37,$3.03,26.18
2017-12-31,75.68,$2.25,33.57
2017-09-30,79.07,$2.16,36.53
2017-06-30,71.62,$1.91,37.42
2017-03-31,63.96,$3.14,20.38
2016-12-31,57.63,$1.91,30.11
2016-09-30,70.44,$1.64,42.84
2016-06-30,65.33,$0.84,77.92
2016-03-31,46.37,$0.42,111.29
2015-12-31,32.63,$0.84,38.92
2015-09-30,42.03,$0.50,84.34
2015-06-30,54.84,$1.27,43.33
2015-03-31,56.0,$1.77,31.59
2014-12-31,55.44,$1.27,43.8
2014-09-30,57.04,$1.34,42.57
2014-06-30,66.68,$1.08,61.73
2014-03-31,54.67,$0.81,67.51
2013-12-31,40.22,$1.08,37.23
2013-09-30,42.11,$0.65,64.46
2013-06-30,36.25,$1.00,36.08
2013-03-31,60.99,$0.97,63.13
2012-12-31,69.7,$1.00,69.38
2012-09-30,85.39,$1.42,60.03
2012-06-30,66.93,$1.36,49.31
2012-03-31,55.55,$1.58,35.05
2011-12-31,57.31,$1.36,42.22
2011-09-30,54.45,$1.32,41.19
2011-06-30,49.7,$0.50,99.12
2011-03-31,44.29,$2.96,14.97
2010-12-31,45.98,$1.39,32.99
2010-09-30,41.95,$1.30,32.26
2010-03-31,38.75,$0.67,58.08
2009-12-31,39.41,$0.68,57.9
2009-09-30,38.09,$0.40,96.14
2009-06-30,34.76,0,0.0
