Dolby Laboratories Price to Free Cash Flow Ratio Historical Data,Dolby Laboratories Price to Free Cash Flow Ratio Historical Data,Dolby Laboratories Price to Free Cash Flow Ratio Historical Data,Dolby Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.06,,27.21
2024-06-30,78.9,$2.72,28.98
2024-03-31,83.12,$3.75,22.18
2023-12-31,85.19,$2.96,28.76
2023-09-30,78.08,$3.45,22.66
2023-06-30,82.14,$3.05,26.9
2023-03-31,83.58,$3.49,23.96
2022-12-31,68.8,$2.99,22.97
2022-09-30,63.31,$2.65,23.85
2022-06-30,69.31,$3.20,21.63
2022-03-31,75.51,$3.12,24.2
2021-12-31,91.62,$3.28,27.91
2021-09-30,84.43,$3.92,21.56
2021-06-30,94.09,$3.96,23.77
2021-03-31,94.28,$3.62,26.02
2020-12-31,92.54,$3.42,27.06
2020-09-30,62.99,$2.70,23.37
2020-06-30,62.4,$2.80,22.31
2020-03-31,51.15,$2.27,22.5
2019-12-31,64.71,$-0.32,0.0
2019-09-30,60.61,$0.48,126.95
2019-06-30,60.38,$0.59,102.64
2019-03-31,58.68,$0.50,118.18
2018-09-30,64.82,$2.61,24.82
2018-06-30,57.01,$4.07,14.02
2018-03-31,58.59,$3.24,18.09
2017-12-31,57.0,$3.70,15.4
2017-09-30,52.74,$4.30,12.27
2018-12-31,57.45,$2.43,23.63
2017-06-30,44.77,$2.59,17.31
2017-03-31,47.8,$2.11,22.65
2016-12-31,41.09,$1.97,20.82
2016-09-30,49.22,$1.57,31.26
2016-06-30,43.27,$2.19,19.76
2015-09-30,29.21,$1.46,19.98
2015-06-30,35.45,$3.36,10.55
2015-03-31,34.01,$3.72,9.15
2014-12-31,38.33,$3.32,11.53
2014-09-30,37.06,$4.39,8.44
2015-12-31,30.25,$2.71,11.15
2014-06-30,38.31,$2.86,13.38
2014-03-31,39.46,$2.93,13.48
2013-12-31,34.19,$2.00,17.06
2013-09-30,30.6,$1.85,16.55
2013-06-30,29.66,$1.86,15.92
2016-03-31,39.2,$0.69,56.75
2013-03-31,29.76,$1.49,20.0
2012-12-31,26.01,$-0.52,0.0
2012-09-30,25.74,$-0.29,0.0
2012-06-30,32.46,$1.09,29.67
2012-03-31,29.92,$1.15,25.97
2011-09-30,21.57,$3.20,6.75
2011-06-30,33.38,$4.14,8.06
2011-03-31,38.68,$3.90,9.93
2010-12-31,52.43,$3.67,14.28
2010-09-30,44.66,$3.81,11.72
2011-12-31,23.98,$2.80,8.57
2010-06-30,49.28,$2.67,18.45
2010-03-31,46.12,$2.58,17.85
2009-12-31,37.52,$3.00,12.49
