Sony Price to Free Cash Flow Ratio Historical Data,Sony Price to Free Cash Flow Ratio Historical Data,Sony Price to Free Cash Flow Ratio Historical Data,Sony Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.51,,27.94
2024-06-30,16.99,$0.66,25.65
2024-03-31,17.15,$0.85,20.18
2023-12-31,18.88,$0.78,24.15
2023-09-30,16.43,$0.15,106.47
2023-06-30,17.89,$0.16,113.95
2023-03-31,18.01,$-0.34,0.0
2022-12-31,15.11,$-0.11,0.0
2022-09-30,12.69,$0.31,40.71
2022-06-30,16.13,$0.33,49.22
2022-03-31,20.26,$1.14,17.72
2021-12-31,24.89,$1.14,21.84
2021-09-30,21.77,$0.86,25.33
2021-06-30,19.1,$1.44,13.24
2021-03-31,20.83,$1.28,16.23
2020-12-31,19.82,$1.39,14.26
2020-09-30,15.05,$1.55,9.69
2020-06-30,13.51,$1.45,9.31
2020-03-31,11.57,$1.35,8.54
2019-12-31,13.24,$1.18,11.23
2019-09-30,11.51,$1.32,8.7
2019-06-30,10.17,$1.20,8.48
2019-03-31,8.2,$1.34,6.12
2018-12-31,9.33,$1.74,5.38
2018-09-30,11.72,$1.64,7.16
2018-06-30,9.89,$1.51,6.55
2018-03-31,9.32,$1.47,6.36
2017-12-31,8.64,$1.29,6.68
2017-09-30,7.18,$1.10,6.54
2017-06-30,7.32,$0.84,8.76
2017-03-31,6.47,$0.71,9.16
2016-12-31,5.36,$0.50,10.72
2016-09-30,6.35,$0.50,12.68
2016-06-30,5.6,$0.72,7.81
2016-03-31,4.9,$0.53,9.29
2015-12-31,4.68,$0.67,6.99
2015-09-30,4.66,$0.71,6.56
2015-06-30,5.38,$0.55,9.82
2015-03-31,5.07,$0.94,5.4
2014-12-31,3.88,$1.11,3.49
2014-09-30,3.42,$1.12,3.05
2014-06-30,3.18,$1.20,2.66
2014-03-31,3.62,$0.94,3.87
2013-12-31,3.27,$0.91,3.58
2013-09-30,4.08,$0.82,4.94
2013-06-30,3.99,$0.78,5.13
2013-03-31,3.28,$0.73,4.49
2012-12-31,2.1,$0.34,6.18
2012-09-30,2.19,$0.25,8.85
2012-06-30,2.63,$0.42,6.34
2012-03-31,3.84,$0.39,9.9
2011-12-31,3.31,$0.45,7.36
2011-09-30,3.49,$0.84,4.14
2011-06-30,4.81,$0.79,6.05
2011-03-31,5.8,$0.89,6.52
2010-12-31,6.47,$1.20,5.38
2010-09-30,5.6,$1.15,4.88
2010-06-30,4.81,$1.19,4.05
2010-03-31,6.91,$1.28,5.39
2009-12-31,5.21,$1.40,3.71
