NatWest Group Price to Free Cash Flow Ratio Historical Data,NatWest Group Price to Free Cash Flow Ratio Historical Data,NatWest Group Price to Free Cash Flow Ratio Historical Data,NatWest Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.54,,inf
2024-03-31,6.68,0,0.0
2023-09-30,5.34,0,0.0
2023-03-31,5.9,0,0.0
2022-09-30,4.3,0,0.0
2022-03-31,4.88,0,0.0
2021-09-30,5.05,0,0.0
2021-03-31,4.4,0,0.0
2020-09-30,2.17,0,0.0
2020-03-31,2.19,0,0.0
2019-09-30,4.11,0,0.0
2019-03-31,4.88,0,0.0
2018-09-30,4.69,0,0.0
2018-03-31,5.27,0,0.0
2017-09-30,5.18,0,0.0
2017-03-31,4.32,$0.45,9.64
2016-09-30,3.32,$-2.19,0.0
2016-03-31,4.54,$0.45,10.13
2015-12-31,6.32,$0.45,14.08
2015-09-30,6.79,$-6.18,0.0
2015-06-30,7.88,$-1.70,0.0
2015-03-31,7.19,$-6.18,0.0
2014-12-31,8.62,$-6.18,0.0
2014-09-30,8.5,$-8.93,0.0
2014-06-30,8.04,$-9.10,0.0
2014-03-31,7.39,$-8.93,0.0
2013-12-31,8.07,$-8.93,0.0
2013-09-30,8.25,$-13.65,0.0
2013-06-30,5.99,$-10.05,0.0
2013-03-31,6.0,$-13.65,0.0
2012-12-31,7.68,$-13.65,0.0
2012-09-30,5.92,$0.03,213.88
2012-06-30,4.84,$-7.82,0.0
2012-03-31,6.29,$0.03,227.25
2011-12-31,4.54,$0.03,163.75
2011-09-30,5.08,0,0.0
2011-06-30,8.87,$13.02,0.68
2011-03-31,9.39,0,0.0
2010-12-31,8.77,0,0.0
2010-09-30,10.56,$-0.53,0.0
2010-06-30,8.62,$-10.95,0.0
2010-03-31,9.43,$-0.53,0.0
2009-12-31,6.69,$-0.53,0.0
