Brookfield Renewable Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Renewable Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Renewable Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Renewable Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.89,,0.0
2024-06-30,24.42,$-3.92,0.0
2024-03-31,22.9,$-4.67,0.0
2023-12-31,25.5,$-2.57,0.0
2023-09-30,20.81,$-0.61,0.0
2023-06-30,27.86,$2.90,9.62
2023-03-31,29.45,$-0.36,0.0
2022-12-31,23.38,$-1.23,0.0
2022-09-30,28.55,$-6.93,0.0
2022-06-30,31.48,$-2.60,0.0
2022-03-31,36.83,$-2.24,0.0
2021-12-31,31.8,$-1.48,0.0
2021-09-30,32.52,$5.24,6.21
2021-06-30,33.73,$2.47,13.68
2021-03-31,36.98,$1.91,19.37
2020-12-31,37.18,$4.12,9.02
2020-09-30,29.98,$4.89,6.13
2020-06-30,27.08,$5.00,5.41
2020-03-31,23.75,$6.34,3.75
2019-12-31,25.79,$5.16,5.0
2019-09-30,22.21,$4.01,5.54
2019-06-30,18.66,$2.27,8.22
2019-03-31,16.96,$3.49,4.86
2018-12-31,13.52,$3.22,4.2
2018-09-30,15.78,$2.64,5.98
2018-06-30,15.44,$3.82,4.04
2018-03-31,15.75,$2.10,7.49
2017-12-31,17.39,$2.71,6.41
2017-09-30,16.46,$3.27,5.03
2017-06-30,15.48,$3.21,4.82
2017-03-31,14.2,$2.81,5.06
2016-12-31,13.97,$2.19,6.38
2016-09-30,14.25,$1.73,8.23
2016-06-30,13.6,$2.76,4.92
2016-03-31,13.47,$3.02,4.46
2015-12-31,11.59,$3.05,3.8
2015-09-30,11.97,$-5.34,0.0
2015-06-30,12.74,$-0.06,0.0
2015-03-31,13.37,$-3.44,0.0
2014-12-31,12.92,$-5.80,0.0
2014-09-30,12.58,$1.72,7.32
2014-06-30,12.07,$-3.87,0.0
2014-03-31,11.72,$0.86,13.7
2013-12-31,10.42,$2.07,5.05
2013-09-30,10.34,$0.43,24.27
2013-06-30,10.67,$-0.35,0.0
2013-03-31,11.1,$-2.13,0.0
2012-12-31,10.92,$-1.64,0.0
2012-09-30,11.13,$1.53,7.26
