Flowserve Price to Free Cash Flow Ratio Historical Data,Flowserve Price to Free Cash Flow Ratio Historical Data,Flowserve Price to Free Cash Flow Ratio Historical Data,Flowserve Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,54.79,,27.72
2024-06-30,47.9,$1.98,24.24
2024-03-31,45.3,$2.27,20.0
2023-12-31,40.69,$1.97,20.61
2023-09-30,39.07,$0.96,40.56
2023-06-30,36.31,$0.07,530.8
2023-03-31,33.04,$-0.48,0.0
2022-12-31,29.63,$-0.85,0.0
2022-09-30,23.32,$-0.57,0.0
2022-06-30,27.25,$0.44,62.58
2022-03-31,33.93,$1.01,33.67
2021-12-31,28.75,$1.51,19.01
2021-09-30,32.36,$2.32,13.93
2021-06-30,37.42,$2.33,16.04
2021-03-31,35.85,$1.94,18.52
2020-12-31,33.86,$2.05,16.51
2020-09-30,24.94,$1.78,14.02
2020-06-30,25.88,$1.73,14.94
2020-03-31,21.53,$2.02,10.67
2019-12-31,44.48,$2.21,20.15
2019-09-30,41.58,$2.06,20.17
2019-06-30,46.72,$2.02,23.16
2019-03-31,39.88,$2.39,16.68
2018-12-31,33.27,$0.86,38.65
2018-09-30,47.86,$1.53,31.34
2018-06-30,35.24,$1.12,31.34
2018-03-31,37.61,$1.01,37.26
2017-12-31,36.25,$1.94,18.68
2017-09-30,36.64,$1.39,26.44
2017-06-30,39.77,$1.51,26.26
2017-03-31,41.3,$1.31,31.57
2016-12-31,40.81,$1.18,34.69
2016-09-30,40.81,$2.09,19.52
2016-06-30,38.06,$2.52,15.12
2016-03-31,37.28,$3.08,12.09
2015-12-31,35.18,$2.01,17.49
2015-09-30,34.24,$2.99,11.45
2015-06-30,43.64,$3.13,13.93
2015-03-31,46.65,$2.91,16.04
2014-12-31,49.26,$3.36,14.65
2014-09-30,57.9,$2.70,21.44
2014-06-30,60.91,$2.65,22.98
2014-03-31,64.05,$2.60,24.63
2013-12-31,64.31,$2.46,26.15
2013-09-30,50.81,$2.31,22.03
2013-06-30,43.88,$1.80,24.41
2013-03-31,44.95,$2.33,19.32
2012-12-31,39.25,$2.52,15.56
2012-09-30,34.07,$2.30,14.83
2012-06-30,30.52,$2.43,12.58
2012-03-31,30.62,$1.37,22.3
2011-12-31,26.25,$0.68,38.58
2011-09-30,19.49,$0.61,32.21
2011-06-30,28.83,$0.33,86.62
2011-03-31,33.69,$1.04,32.33
2010-12-31,31.1,$1.56,19.88
2010-09-30,28.48,$2.07,13.78
2010-06-30,22.01,$2.30,9.55
2010-03-31,28.53,$2.29,12.46
2009-12-31,24.39,$1.91,12.75
