Nutrien Price to Free Cash Flow Ratio Historical Data,Nutrien Price to Free Cash Flow Ratio Historical Data,Nutrien Price to Free Cash Flow Ratio Historical Data,Nutrien Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.3,,9.0
2024-06-30,50.35,$5.37,9.38
2024-03-31,53.15,$5.72,9.3
2023-12-31,54.57,$4.82,11.32
2023-09-30,59.28,$5.01,11.84
2023-06-30,56.2,$7.67,7.33
2023-03-31,69.66,$8.55,8.15
2022-12-31,68.39,$10.44,6.55
2022-09-30,77.58,$8.80,8.82
2022-06-30,73.72,$4.66,15.82
2022-03-31,95.64,$3.65,26.18
2021-12-31,68.84,$3.50,19.64
2021-09-30,58.98,$3.16,18.68
2021-06-30,54.45,$4.93,11.05
2021-03-31,48.04,$4.73,10.17
2020-12-31,42.58,$4.06,10.48
2020-09-30,34.35,$2.38,14.45
2020-06-30,27.78,$4.33,6.42
2020-03-31,28.98,$3.10,9.35
2019-12-31,40.35,$3.32,12.15
2019-09-30,41.61,$1.63,25.51
2019-06-30,44.19,$1.93,22.89
2019-03-31,43.27,$-0.30,0.0
2018-12-31,38.23,$-0.31,0.0
