"Western Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data","Western Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data","Western Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data","Western Midstream Partners, LP Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.51,,7.83
2024-06-30,38.87,$4.92,7.9
2024-03-31,33.91,$4.14,8.19
2023-12-31,27.36,$2.41,11.36
2023-09-30,24.93,$3.19,7.81
2023-06-30,23.8,$3.55,6.7
2023-03-31,22.93,$3.59,6.39
2022-12-31,22.92,$3.73,6.14
2022-09-30,21.11,$3.62,5.84
2022-06-30,20.02,$3.51,5.7
2022-03-31,20.35,$3.54,5.75
2021-12-31,17.72,$3.55,5.0
2021-09-30,16.43,$3.27,5.03
2021-06-30,16.53,$3.28,5.04
2021-03-31,14.13,$2.82,5.01
2020-12-31,10.29,$2.83,3.63
2020-09-30,5.74,$1.88,3.05
2020-06-30,6.97,$1.32,5.27
2020-03-31,2.17,$0.97,2.25
2019-12-31,12.73,$0.33,39.14
2019-09-30,15.63,$0.30,51.7
2019-06-30,18.94,$-0.56,0.0
2019-03-31,19.77,$-1.80,0.0
2018-12-31,16.44,$-2.72,0.0
2018-09-30,17.39,$-3.80,0.0
2018-06-30,20.45,$-2.92,0.0
2018-03-31,18.63,$-1.19,0.0
2017-12-31,20.61,$0.17,118.87
2017-09-30,22.53,$1.99,11.33
2017-06-30,23.24,$2.45,9.48
2017-03-31,24.63,$2.04,12.09
2016-12-31,22.4,$2.19,10.23
2016-09-30,22.24,$1.58,14.12
2016-06-30,19.79,$1.91,10.36
2016-03-31,18.26,$2.25,8.13
2015-12-31,18.32,$1.75,10.48
2015-09-30,19.72,$1.60,12.34
2015-06-30,29.83,$0.35,84.73
2014-12-31,29.62,$-0.46,0.0
2014-09-30,29.83,$-0.59,0.0
2014-06-30,30.55,$-0.67,0.0
2014-03-31,23.8,$-1.05,0.0
2013-12-31,19.04,$-0.88,0.0
2013-09-30,17.83,$-0.63,0.0
2013-06-30,19.64,$-0.73,0.0
