Cabot Price to Free Cash Flow Ratio Historical Data,Cabot Price to Free Cash Flow Ratio Historical Data,Cabot Price to Free Cash Flow Ratio Historical Data,Cabot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,114.88,,16.07
2024-06-30,91.52,$7.15,12.8
2024-03-31,91.82,$7.26,12.65
2023-12-31,82.76,$8.88,9.31
2023-09-30,68.3,$8.24,8.29
2023-06-30,65.58,$7.20,9.11
2023-03-31,74.71,$3.77,19.83
2022-09-30,61.68,$-1.63,0.0
2022-06-30,61.29,$-1.23,0.0
2022-03-31,65.39,$-0.83,0.0
2021-12-31,53.45,$0.14,388.13
2021-09-30,47.36,$1.97,24.05
2022-12-31,64.85,$1.16,55.9
2021-06-30,53.44,$1.81,29.51
2021-03-31,48.96,$3.25,15.06
2020-12-31,41.61,$2.34,17.81
2020-09-30,33.14,$3.13,10.6
2020-06-30,33.76,$4.23,7.98
2020-03-31,23.58,$3.32,7.11
2019-12-31,42.49,$4.56,9.32
2019-09-30,40.23,$2.36,17.02
2019-06-30,41.98,$2.12,19.84
2019-03-31,36.32,$1.22,29.83
2018-12-31,37.2,$0.32,117.68
2018-09-30,54.33,$1.75,31.04
2018-06-30,53.24,$1.35,39.31
2018-03-31,47.76,$2.76,17.33
2017-12-31,52.53,$1.74,30.2
2017-09-30,47.34,$3.21,14.77
2017-06-30,45.06,$2.71,16.64
2017-03-31,50.23,$2.49,20.15
2016-12-31,42.15,$5.00,8.43
2016-09-30,43.46,$4.71,9.24
2016-06-30,37.64,$6.55,5.74
2016-03-31,39.58,$5.96,6.64
2015-12-31,33.31,$6.47,5.15
2015-09-30,25.58,$5.65,4.53
2015-06-30,30.03,$3.90,7.69
2015-03-31,36.05,$4.33,8.32
2014-12-31,34.97,$3.37,10.38
2014-09-30,40.28,$2.21,18.21
2014-06-30,45.83,$4.30,10.66
2014-03-31,46.49,$4.30,10.82
2013-12-31,40.31,$3.24,12.44
2013-09-30,33.36,$2.40,13.88
2013-06-30,29.08,$1.17,24.81
2013-03-31,26.45,$0.58,45.33
2012-12-31,30.61,$0.99,30.79
2012-09-30,27.98,$2.12,13.21
2012-06-30,30.96,$-0.14,0.0
2012-03-31,32.3,$-0.60,0.0
2011-12-31,24.22,$-1.22,0.0
2011-09-30,18.56,$-0.44,0.0
2011-06-30,29.69,$1.36,21.85
2011-03-31,34.32,$2.32,14.78
2010-12-31,27.8,$3.08,9.02
2010-09-30,23.92,$2.29,10.46
2010-06-30,17.59,$1.60,10.99
2010-03-31,22.04,$0.73,30.05
2009-12-31,18.9,$4.04,4.68
