Floor & Decor Holdings Price to Free Cash Flow Ratio Historical Data,Floor & Decor Holdings Price to Free Cash Flow Ratio Historical Data,Floor & Decor Holdings Price to Free Cash Flow Ratio Historical Data,Floor & Decor Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,108.37,,2662.65
2024-06-30,99.41,$0.04,2442.51
2023-12-31,111.56,$2.37,47.02
2023-09-30,90.5,$-0.85,0.0
2023-06-30,103.96,$-1.33,0.0
2023-03-31,98.22,$-3.14,0.0
2022-12-31,69.63,$-5.08,0.0
2024-03-31,129.62,$-2.56,0.0
2022-09-30,70.26,$-4.69,0.0
2022-06-30,62.96,$-4.03,0.0
2022-03-31,81.0,$-2.47,0.0
2021-12-31,130.01,$-0.99,0.0
2021-09-30,120.79,$1.13,106.7
2021-06-30,105.7,$2.69,39.22
2021-03-31,95.48,$2.47,38.66
2020-12-31,92.85,$1.83,50.87
2020-09-30,74.8,$0.93,80.02
2020-06-30,57.65,$-0.05,0.0
2020-03-31,32.09,$-0.00,0.0
2019-12-31,50.81,$0.08,616.63
2019-09-30,51.15,$0.65,78.55
2019-06-30,41.9,$0.55,75.96
2019-03-31,41.22,$0.16,255.87
2018-12-31,25.9,$0.33,79.13
2018-09-30,30.17,$0.27,111.49
2018-06-30,49.33,$0.06,890.43
2018-03-31,52.12,$0.19,271.74
