Frontdoor Price to Free Cash Flow Ratio Historical Data,Frontdoor Price to Free Cash Flow Ratio Historical Data,Frontdoor Price to Free Cash Flow Ratio Historical Data,Frontdoor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.49,,17.33
2024-06-30,33.79,$3.03,11.16
2024-03-31,32.58,$2.40,13.56
2023-12-31,35.22,$2.10,16.76
2023-09-30,30.59,$2.07,14.77
2023-06-30,31.9,$1.52,21.02
2023-03-31,27.88,$1.42,19.65
2022-12-31,20.8,$1.24,16.72
2022-09-30,20.39,$1.03,19.82
2022-06-30,24.08,$1.50,16.01
2022-03-31,29.85,$1.74,17.18
2021-12-31,36.65,$1.80,20.35
2021-09-30,41.9,$1.94,21.63
2021-06-30,49.82,$1.83,27.24
2021-03-31,53.75,$1.96,27.41
2020-12-31,50.21,$2.05,24.53
2020-09-30,38.91,$1.95,19.91
2020-06-30,44.33,$1.99,22.27
2020-03-31,34.78,$2.14,16.26
2019-12-31,47.42,$2.10,22.62
2019-09-30,48.57,$3.55,13.68
