Twilio Price to Free Cash Flow Ratio Historical Data,Twilio Price to Free Cash Flow Ratio Historical Data,Twilio Price to Free Cash Flow Ratio Historical Data,Twilio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,70.21,,15.9
2024-06-30,56.81,$4.42,12.86
2024-03-31,61.15,$3.55,17.23
2023-12-31,75.87,$1.98,38.26
2023-09-30,58.53,$0.32,180.98
2023-06-30,63.62,$-1.50,0.0
2023-03-31,66.63,$-2.21,0.0
2022-12-31,48.96,$-1.83,0.0
2022-09-30,69.14,$-1.80,0.0
2022-06-30,83.81,$-1.37,0.0
2022-03-31,164.81,$-1.01,0.0
2021-12-31,263.34,$-0.85,0.0
2021-09-30,319.05,$-0.13,0.0
2021-06-30,394.16,$-0.02,0.0
2021-03-31,340.76,$-0.04,0.0
2020-12-31,338.5,$-0.00,0.0
2020-09-30,247.09,$-0.49,0.0
2020-06-30,219.42,$-0.19,0.0
2020-03-31,89.49,$-0.26,0.0
2019-12-31,98.28,$-0.41,0.0
2019-09-30,109.96,$-0.17,0.0
2019-06-30,136.35,$-0.44,0.0
2019-03-31,129.18,$-0.38,0.0
2018-12-31,89.3,$-0.12,0.0
2018-09-30,86.28,$-0.09,0.0
2018-06-30,56.02,$-0.05,0.0
2018-03-31,38.18,$-0.14,0.0
2017-12-31,23.6,$-0.33,0.0
2017-09-30,29.85,$-0.51,0.0
2017-06-30,29.11,$-0.39,0.0
2017-03-31,28.87,$-0.36,0.0
