ASGN Price to Free Cash Flow Ratio Historical Data,ASGN Price to Free Cash Flow Ratio Historical Data,ASGN Price to Free Cash Flow Ratio Historical Data,ASGN Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,98.71,,11.87
2024-06-30,88.17,$8.31,10.61
2024-03-31,104.76,$8.51,12.3
2023-12-31,96.17,$8.56,11.23
2023-09-30,81.68,$7.58,10.78
2023-06-30,75.63,$6.28,12.03
2023-03-31,82.67,$5.76,14.34
2022-12-31,81.48,$5.27,15.46
2022-09-30,90.37,$2.34,38.65
2022-06-30,90.25,$1.94,46.46
2022-03-31,116.71,$1.80,64.78
2021-12-31,123.4,$2.97,41.52
2021-09-30,113.14,$6.21,18.23
2021-06-30,96.93,$6.54,14.83
2021-03-31,95.44,$8.50,11.23
2020-12-31,83.53,$7.36,11.35
2020-09-30,63.56,$7.18,8.85
2020-06-30,66.68,$7.21,9.24
2020-03-31,35.32,$5.48,6.44
2019-12-31,70.97,$5.25,13.51
2019-09-30,62.86,$4.98,12.61
2019-06-30,60.6,$5.00,12.12
2019-03-31,63.49,$4.64,13.68
2018-12-31,54.5,$4.87,11.19
2018-09-30,78.93,$4.78,16.52
2018-06-30,78.19,$4.12,18.96
2018-03-31,81.88,$3.46,23.67
2017-12-31,64.27,$3.24,19.87
2017-09-30,53.68,$3.19,16.84
2017-06-30,54.15,$2.92,18.54
2017-03-31,48.53,$2.02,23.97
2016-12-31,44.16,$1.91,23.16
2016-09-30,36.29,$1.53,23.67
2016-06-30,36.95,$1.37,26.96
2015-12-31,44.95,$1.87,23.98
2015-09-30,36.9,$1.71,21.58
2015-06-30,39.28,$1.87,21.01
2015-03-31,38.37,$1.79,21.49
2014-12-31,33.19,$1.41,23.62
2014-09-30,26.85,$1.59,16.93
2014-06-30,35.57,$1.58,22.54
2014-03-31,38.59,$1.56,24.79
2013-12-31,34.92,$1.72,20.27
2013-09-30,33.0,$1.84,17.92
2013-06-30,26.72,$1.62,16.53
2013-03-31,25.31,$1.63,15.55
2016-03-31,36.92,$1.14,32.49
2012-12-31,20.28,$0.55,36.82
2012-09-30,19.92,$0.23,86.72
2012-06-30,15.96,$-0.17,0.0
2012-03-31,17.47,$0.44,39.61
2011-12-31,11.18,$0.40,28.13
2011-09-30,7.07,$0.36,19.4
2011-06-30,9.83,$0.47,20.89
2011-03-31,9.46,$0.51,18.62
2010-12-31,8.15,$0.56,14.44
2010-09-30,5.25,$0.46,11.44
2010-06-30,5.03,$0.55,9.16
2010-03-31,7.13,$0.71,10.06
2009-12-31,7.15,$1.03,6.96
