VALE S.A Price to Free Cash Flow Ratio Historical Data,VALE S.A Price to Free Cash Flow Ratio Historical Data,VALE S.A Price to Free Cash Flow Ratio Historical Data,VALE S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.74,,7.57
2024-06-30,10.77,$1.42,7.59
2024-03-31,11.75,$1.61,7.3
2023-12-31,14.64,$1.66,8.83
2023-09-30,12.0,$1.06,11.29
2023-06-30,11.65,$1.22,9.54
2023-03-31,13.7,$1.55,8.82
2022-12-31,14.42,$1.30,11.07
2022-09-30,11.28,$1.38,8.2
2022-06-30,11.79,$2.43,4.85
2022-03-31,16.11,$3.24,4.97
2021-12-31,10.88,$4.12,2.64
2021-09-30,10.82,$5.06,2.14
2021-06-30,16.07,$4.34,3.7
2021-03-31,12.01,$3.14,3.82
2020-12-31,11.11,$2.26,4.92
2020-09-30,7.01,$1.86,3.77
2020-03-31,5.28,$1.44,3.66
2019-12-31,8.41,$1.64,5.13
2019-09-30,7.19,$1.70,4.23
2019-06-30,8.4,$1.69,4.96
2019-03-31,8.16,$1.82,4.48
2018-12-31,8.24,$1.76,4.68
2018-09-30,9.27,$1.95,4.77
2018-06-30,7.81,$1.67,4.67
2018-03-31,7.75,$1.55,4.99
2017-12-31,7.37,$1.66,4.44
2017-09-30,6.0,$1.33,4.52
2017-06-30,5.22,$1.24,4.21
2017-03-31,5.49,$0.99,5.52
2016-12-31,4.4,$0.28,15.77
2016-09-30,3.16,$-0.04,0.0
2016-06-30,2.9,$-0.35,0.0
2016-03-31,2.42,$-0.74,0.0
2015-12-31,1.89,$-0.70,0.0
2015-09-30,2.36,$-0.96,0.0
2015-06-30,3.31,$-0.98,0.0
2015-03-31,3.14,$-0.40,0.0
2014-12-31,4.55,$0.26,17.66
2014-09-30,5.9,$0.25,23.45
2014-06-30,7.09,$0.57,12.48
2014-03-31,7.21,$0.56,12.95
2013-12-31,7.95,$0.33,24.27
2013-09-30,7.95,$0.49,16.16
2013-06-30,6.7,$0.36,18.48
2013-03-31,8.65,$0.21,40.66
2012-12-31,10.48,$0.16,66.53
2012-09-30,8.85,$0.64,13.75
2012-06-30,9.81,$0.59,16.72
2012-03-31,11.3,$1.01,11.21
2011-12-31,10.39,$1.64,6.34
2011-09-30,10.82,$1.95,5.56
2011-06-30,14.84,$2.44,6.08
2011-03-31,15.34,$2.09,7.35
2010-12-31,15.76,$1.33,11.82
2010-09-30,14.22,$0.42,34.1
2010-06-30,11.07,$0.10,111.39
2010-03-31,14.56,$-0.35,0.0
2009-12-31,13.13,$-0.18,0.0
