SS&C Technologies Holdings Price to Free Cash Flow Ratio Historical Data,SS&C Technologies Holdings Price to Free Cash Flow Ratio Historical Data,SS&C Technologies Holdings Price to Free Cash Flow Ratio Historical Data,SS&C Technologies Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,76.38,,20.28
2024-06-30,62.46,$3.77,16.59
2024-03-31,63.9,$3.51,18.22
2023-12-31,60.44,$3.79,15.96
2023-09-30,51.74,$3.77,13.74
2023-06-30,59.43,$3.99,14.9
2023-03-31,55.18,$3.81,14.48
2022-12-31,50.7,$3.58,14.17
2022-09-30,46.33,$4.02,11.52
2022-06-30,56.14,$4.38,12.82
2022-03-31,72.3,$4.83,14.96
2021-12-31,78.8,$4.85,16.23
2021-09-30,66.53,$4.71,14.13
2021-06-30,68.94,$4.04,17.08
2021-03-31,66.7,$4.17,15.99
2020-12-31,69.28,$4.05,17.09
2020-09-30,57.52,$4.59,12.53
2020-06-30,53.56,$5.11,10.48
2020-03-31,41.47,$4.62,8.98
2019-12-31,57.97,$4.56,12.72
2019-09-30,48.59,$3.71,13.09
2019-06-30,54.16,$3.28,16.51
2019-03-31,59.77,$2.43,24.62
2018-12-31,42.27,$2.30,18.37
2018-09-30,53.25,$1.82,29.19
2018-06-30,48.56,$1.57,30.97
2018-03-31,50.12,$2.05,24.44
2017-12-31,37.77,$2.01,18.77
2017-09-30,37.4,$2.10,17.82
2017-06-30,35.71,$2.06,17.35
2017-03-31,32.86,$2.02,16.3
2016-12-31,26.5,$1.85,14.32
2016-09-30,29.73,$1.58,18.76
2016-06-30,25.92,$1.19,21.74
2016-03-31,29.21,$1.02,28.54
2015-12-31,31.38,$1.11,28.15
2015-09-30,32.13,$1.04,30.91
2015-06-30,28.62,$1.39,20.57
2015-03-31,28.47,$1.30,21.95
2014-12-31,26.68,$1.34,19.91
2014-09-30,19.97,$1.16,17.22
2014-06-30,20.12,$1.24,16.24
2014-03-31,18.21,$1.22,14.87
2013-12-31,20.14,$1.13,17.77
2013-09-30,17.34,$1.23,14.15
2013-06-30,14.97,$0.87,17.2
2013-03-31,13.64,$0.74,18.42
2012-12-31,10.51,$0.70,14.95
2012-09-30,11.47,$0.54,21.39
2012-06-30,11.37,$0.60,18.83
2012-03-31,10.61,$0.65,16.45
2011-12-31,8.22,$0.64,12.91
2011-09-30,6.5,$0.60,10.92
2011-06-30,9.04,$0.57,15.96
2011-03-31,9.29,$0.43,21.54
2010-12-31,9.33,$0.48,19.42
